"Transaction_ID","Sale_Date","Sale_Time","Item_Name","Category","Quantity","Unit_Price","Discount","Payment_Method","Order_Channel","Line_Total","Server_Name"
"TX-0001","2026-06-12","22:24","French Fries","Side","1","4.5","0","Online","Takeaway","4.5","Liam"
"TX-0002","2026-06-24","17:07","Cola","Beverage","1","3","0.15","Online","Dine-in","2.55","Liam"
"TX-0003","2026-06-03","17:26","Espresso","Beverage","2","2.5","0","Cash","Dine-in","5","Noah"
"TX-0004","2026-06-17","14:55","Tomato Soup","Starter","1","6","0.1","Online","Dine-in","5.4","Maya"
"TX-0005","2026-06-07","17:37","Margherita Pizza","Main Course","1","11.5","0","Card","Dine-in","11.5","Noah"
"TX-0006","2026-06-24","17:06","Margherita Pizza","Main Course","4","11.5","0.1","Card","Dine-in","41.4","Liam"
"TX-0007","2026-06-24","18:05","Cheesecake","Dessert","4","7","0","Cash","Dine-in","28","Ava"
"TX-0008","2026-06-02","14:51","Chicken Wrap","Main Course","2","10","0","Cash","Delivery","20","Liam"
"TX-0009","2026-06-20","20:20","Tomato Soup","Starter","1","6","0","Card","Takeaway","6","Liam"
"TX-0010","2026-06-23","21:21","Tomato Soup","Starter","1","6","0","Online","Takeaway","6","Maya"
"TX-0011","2026-06-24","11:31","Tomato Soup","Starter","1","6","0.05","Card","Dine-in","5.7","Maya"
"TX-0012","2026-06-03","14:41","Classic Burger","Main Course","3","12.5","0.05","Cash","Delivery","35.63","Maya"
"TX-0013","2026-06-03","16:48","Classic Burger","Main Course","2","12.5","0","Online","Delivery","25","Noah"
"TX-0014","2026-06-01","12:01","French Fries","Side","3","4.5","0","Card","Delivery","13.5","Liam"
"TX-0015","2026-06-02","15:51","French Fries","Side","4","4.5","0","Card","Takeaway","18","Noah"
"TX-0016","2026-06-07","16:25","Espresso","Beverage","4","2.5","0","Card","Takeaway","10","Maya"
"TX-0017","2026-06-07","22:26","Chicken Wrap","Main Course","3","10","0.1","Cash","Dine-in","27","Noah"
"TX-0018","2026-06-09","14:15","Chicken Wrap","Main Course","2","10","0","Online","Dine-in","20","Noah"
"TX-0019","2026-06-03","15:15","French Fries","Side","1","4.5","0","Online","Takeaway","4.5","Liam"
"TX-0020","2026-06-29","10:45","Cola","Beverage","2","3","0","Online","Takeaway","6","Noah"
"TX-0021","2026-06-02","20:54","Chocolate Cake","Dessert","1","6.5","0.15","Card","Takeaway","5.53","Noah"
"TX-0022","2026-06-26","15:16","Espresso","Beverage","1","2.5","0","Cash","Delivery","2.5","Ava"
"TX-0023","2026-06-13","18:48","Espresso","Beverage","3","2.5","0","Online","Dine-in","7.5","Noah"
"TX-0024","2026-06-17","17:43","Lemonade","Beverage","4","3.5","0.05","Card","Dine-in","13.3","Liam"
"TX-0025","2026-06-01","17:59","Cheesecake","Dessert","1","7","0.05","Card","Delivery","6.65","Noah"
"TX-0026","2026-06-05","22:56","Margherita Pizza","Main Course","1","11.5","0","Cash","Dine-in","11.5","Maya"
"TX-0027","2026-06-10","12:30","French Fries","Side","1","4.5","0","Card","Delivery","4.5","Noah"
"TX-0028","2026-06-10","10:30","Caesar Salad","Starter","2","8.5","0.1","Cash","Delivery","15.3","Ava"
"TX-0029","2026-06-27","11:40","Chicken Wrap","Main Course","2","10","0.05","Online","Delivery","19","Liam"
"TX-0030","2026-06-01","19:21","Cola","Beverage","1","3","0.15","Card","Delivery","2.55","Noah"
"TX-0031","2026-06-25","18:13","Lemonade","Beverage","1","3.5","0","Card","Delivery","3.5","Ava"
"TX-0032","2026-06-21","22:06","Margherita Pizza","Main Course","3","11.5","0","Card","Delivery","34.5","Maya"
"TX-0033","2026-06-21","11:17","Chicken Wrap","Main Course","1","10","0.15","Card","Dine-in","8.5","Ava"
"TX-0034","2026-06-04","21:41","Cola","Beverage","1","3","0","Online","Dine-in","3","Maya"
"TX-0035","2026-06-11","11:23","Chicken Wrap","Main Course","4","10","0","Cash","Takeaway","40","Liam"
"TX-0036","2026-06-30","15:06","French Fries","Side","1","4.5","0.15","Card","Dine-in","3.83","Maya"
"TX-0037","2026-06-17","15:41","Chicken Wrap","Main Course","1","10","0.1","Card","Dine-in","9","Noah"
"TX-0038","2026-06-13","16:05","Espresso","Beverage","3","2.5","0.1","Cash","Takeaway","6.75","Noah"
"TX-0039","2026-06-01","14:27","Cola","Beverage","4","3","0.05","Online","Takeaway","11.4","Maya"
"TX-0040","2026-06-19","22:44","Classic Burger","Main Course","3","12.5","0.15","Online","Takeaway","31.88","Maya"
"TX-0041","2026-06-24","15:45","Classic Burger","Main Course","2","12.5","0","Card","Takeaway","25","Noah"
"TX-0042","2026-06-08","15:25","French Fries","Side","3","4.5","0","Card","Dine-in","13.5","Maya"
"TX-0043","2026-06-24","21:54","Classic Burger","Main Course","3","12.5","0","Card","Delivery","37.5","Maya"
"TX-0044","2026-06-28","14:52","Chocolate Cake","Dessert","4","6.5","0.05","Online","Delivery","24.7","Maya"
"TX-0045","2026-06-05","18:44","Tomato Soup","Starter","2","6","0","Card","Delivery","12","Noah"
"TX-0046","2026-06-04","15:32","Tomato Soup","Starter","2","6","0.15","Card","Delivery","10.2","Noah"
"TX-0047","2026-06-16","14:57","Cheesecake","Dessert","3","7","0.1","Online","Takeaway","18.9","Liam"
"TX-0048","2026-06-17","16:50","Lemonade","Beverage","3","3.5","0","Card","Takeaway","10.5","Noah"
"TX-0049","2026-06-01","18:06","Margherita Pizza","Main Course","2","11.5","0.1","Card","Delivery","20.7","Liam"
"TX-0050","2026-06-26","16:44","Tomato Soup","Starter","2","6","0","Cash","Dine-in","12","Noah"
"TX-0051","2026-06-24","14:11","Chocolate Cake","Dessert","4","6.5","0.15","Cash","Takeaway","22.1","Noah"
"TX-0052","2026-06-01","19:56","Lemonade","Beverage","3","3.5","0.05","Online","Dine-in","9.98","Maya"
"TX-0053","2026-06-30","21:11","Espresso","Beverage","1","2.5","0.15","Online","Takeaway","2.13","Noah"
"TX-0054","2026-06-11","12:56","Chicken Wrap","Main Course","3","10","0","Cash","Delivery","30","Ava"
"TX-0055","2026-06-10","19:08","Chocolate Cake","Dessert","1","6.5","0.15","Online","Delivery","5.53","Noah"
"TX-0056","2026-06-09","22:17","Chocolate Cake","Dessert","1","6.5","0.05","Cash","Dine-in","6.18","Noah"
"TX-0057","2026-06-09","18:28","French Fries","Side","1","4.5","0","Online","Dine-in","4.5","Maya"
"TX-0058","2026-06-27","15:56","French Fries","Side","4","4.5","0","Cash","Dine-in","18","Noah"
"TX-0059","2026-06-13","21:13","Chicken Wrap","Main Course","4","10","0.15","Card","Delivery","34","Maya"
"TX-0060","2026-06-05","15:15","French Fries","Side","1","4.5","0.1","Card","Delivery","4.05","Noah"
"TX-0061","2026-06-02","13:31","Lemonade","Beverage","1","3.5","0","Card","Takeaway","3.5","Maya"
"TX-0062","2026-06-09","17:16","Espresso","Beverage","3","2.5","0","Cash","Dine-in","7.5","Maya"
