Payment ID,Invoice ID,Payment Date,Amount,Method,Reference
PAY-0001,INV-0001,2025-08-22,1165.15,Bank transfer,RCPT-1A
PAY-0002,INV-0001,2025-09-12,953.31,Card,RCPT-1B
PAY-0003,INV-0002,2025-09-08,700.44,Card,RCPT-2
PAY-0004,INV-0003,2025-08-21,705.59,PayPal,RCPT-3
PAY-0005,INV-0004,2025-08-22,731.38,Bank transfer,RCPT-4
PAY-0006,INV-0005,2025-09-24,1023.76,Card,RCPT-5
PAY-0007,INV-0006,2025-08-25,543.66,PayPal,RCPT-6
PAY-0008,INV-0007,2025-09-11,744.94,Bank transfer,RCPT-7
PAY-0009,INV-0008,2025-09-18,1418.77,Card,RCPT-8
PAY-0010,INV-0009,2025-09-12,911.35,PayPal,RCPT-9
PAY-0011,INV-0010,2025-09-05,2176.78,Bank transfer,RCPT-10
PAY-0012,INV-0012,2025-10-05,966.46,PayPal,RCPT-12
PAY-0013,INV-0013,2025-09-25,2778.8,Bank transfer,RCPT-13
PAY-0014,INV-0014,2025-10-11,1042.53,Card,RCPT-14
PAY-0015,INV-0015,2025-09-18,1709.14,PayPal,RCPT-15
PAY-0016,INV-0016,2025-10-03,2800.97,Bank transfer,RCPT-16
PAY-0017,INV-0017,2025-09-14,361.85,Card,RCPT-17
PAY-0018,INV-0018,2025-09-19,552.13,PayPal,RCPT-18
PAY-0019,INV-0019,2025-10-04,2689.14,Bank transfer,RCPT-19
PAY-0020,INV-0020,2025-09-24,999.04,Card,RCPT-20
PAY-0021,INV-0021,2025-11-03,1526.72,PayPal,RCPT-21
PAY-0022,INV-0022,2025-10-07,1172.78,Bank transfer,RCPT-22
PAY-0023,INV-0023,2025-10-30,667.83,Card,RCPT-23
PAY-0024,INV-0024,2025-09-25,846.35,PayPal,RCPT-24
PAY-0025,INV-0025,2025-09-29,2504.99,Bank transfer,RCPT-25
PAY-0026,INV-0026,2025-10-28,736.69,Card,RCPT-26
PAY-0027,INV-0027,2025-10-23,1556.54,PayPal,RCPT-27
PAY-0028,INV-0028,2025-10-03,195.33,Bank transfer,RCPT-28
PAY-0029,INV-0031,2025-11-19,2887.48,Bank transfer,RCPT-31
PAY-0030,INV-0032,2025-10-22,2733.22,Card,RCPT-32
PAY-0031,INV-0033,2025-10-24,896.98,PayPal,RCPT-33
PAY-0032,INV-0035,2025-11-09,559.45,Card,RCPT-35A
PAY-0033,INV-0035,2025-11-12,457.73,PayPal,RCPT-35B
PAY-0034,INV-0036,2025-11-17,1671.11,PayPal,RCPT-36
PAY-0035,INV-0037,2025-12-02,2101.44,Bank transfer,RCPT-37
PAY-0036,INV-0038,2025-10-25,1668.74,Card,RCPT-38
PAY-0037,INV-0039,2025-11-27,1701.23,PayPal,RCPT-39
PAY-0038,INV-0042,2025-11-14,1823.29,PayPal,RCPT-42
PAY-0039,INV-0043,2025-12-10,629.18,Bank transfer,RCPT-43
PAY-0040,INV-0044,2025-11-07,845.8,Card,RCPT-44A
PAY-0041,INV-0044,2025-11-14,692.02,PayPal,RCPT-44B
PAY-0042,INV-0045,2025-12-11,277.26,PayPal,RCPT-45
PAY-0043,INV-0046,2025-11-11,544.53,Bank transfer,RCPT-46
PAY-0044,INV-0047,2025-12-09,1266.63,Card,RCPT-47A
PAY-0045,INV-0047,2025-12-14,1036.33,PayPal,RCPT-47B
PAY-0046,INV-0048,2025-11-30,1789.51,PayPal,RCPT-48
PAY-0047,INV-0049,2026-01-05,1383.53,Bank transfer,RCPT-49
PAY-0048,INV-0050,2025-11-27,2849.58,Card,RCPT-50
PAY-0049,INV-0051,2025-12-13,529.56,PayPal,RCPT-51A
PAY-0050,INV-0051,2025-12-18,433.28,Bank transfer,RCPT-51B
PAY-0051,INV-0052,2026-01-01,985.05,Bank transfer,RCPT-52
PAY-0052,INV-0055,2025-11-26,1405.95,Bank transfer,RCPT-55
PAY-0053,INV-0056,2025-12-24,2580.15,Card,RCPT-56
PAY-0054,INV-0057,2025-12-16,1726.76,PayPal,RCPT-57
PAY-0055,INV-0058,2025-12-13,2014.52,Bank transfer,RCPT-58
PAY-0056,INV-0061,2026-01-28,2775.91,Bank transfer,RCPT-61
PAY-0057,INV-0062,2025-12-22,2296.23,Card,RCPT-62
PAY-0058,INV-0065,2026-01-09,675.33,Card,RCPT-65
