Order ID,Order Date,Product,Category,Channel,Region,Quantity,Unit Price,Discount,Revenue,Cost,Profit
ORD-1097,2026-03-07,Cold Brew Bottle,Equipment,Wholesale,Izmir,3,24.38,0.15,62.17,37.5,24.67
ORD-1098,2026-03-14,Filter Beans 1kg,Coffee,Retail Store,Istanbul,8,20.32,0,162.56,94.4,68.16
ORD-1099,2026-03-21,Cold Brew Bottle,Equipment,Online,Izmir,5,24.38,0,121.9,62.5,59.4
ORD-1100,2026-03-28,Filter Beans 1kg,Coffee,Wholesale,Istanbul,2,20.32,0,40.64,23.6,17.04
ORD-1101,2026-03-07,Cold Brew Bottle,Equipment,Retail Store,Izmir,7,24.38,0,170.66,87.5,83.16
ORD-1102,2026-03-14,Filter Beans 1kg,Coffee,Online,Istanbul,4,20.32,0,81.28,47.2,34.08
ORD-1103,2026-03-21,Cold Brew Bottle,Equipment,Wholesale,Izmir,1,24.38,0,24.38,12.5,11.88
ORD-1104,2026-03-28,Filter Beans 1kg,Coffee,Retail Store,Istanbul,6,20.32,0.1,109.73,70.8,38.93
ORD-1105,2026-03-07,Cold Brew Bottle,Equipment,Online,Izmir,3,24.38,0,73.14,37.5,35.64
ORD-1106,2026-03-14,Filter Beans 1kg,Coffee,Wholesale,Istanbul,8,20.32,0,162.56,94.4,68.16
ORD-1107,2026-03-21,Cold Brew Bottle,Equipment,Retail Store,Izmir,5,24.38,0,121.9,62.5,59.4
ORD-1108,2026-03-28,Filter Beans 1kg,Coffee,Online,Istanbul,2,20.32,0.15,34.54,23.6,10.94
ORD-1109,2026-03-07,Cold Brew Bottle,Equipment,Wholesale,Izmir,7,24.38,0,170.66,87.5,83.16
ORD-1110,2026-03-14,Filter Beans 1kg,Coffee,Retail Store,Istanbul,4,20.32,0,81.28,47.2,34.08
ORD-1111,2026-03-21,Cold Brew Bottle,Equipment,Online,Izmir,1,24.38,0.1,21.94,12.5,9.44
