Order ID,Order Date,Product,Category,Channel,Region,Quantity,Unit Price,Discount,Revenue,Cost,Profit
ORD-1001,2026-01-01,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,1,18,0.15,15.3,10.5,4.8
ORD-1002,2026-01-08,French Press,Equipment,Online,Izmir,6,32,0,192,108,84
ORD-1003,2026-01-15,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,3,18,0,54,31.5,22.5
ORD-1004,2026-01-22,French Press,Equipment,Retail Store,Izmir,8,32,0,256,144,112
ORD-1005,2026-01-01,Espresso Beans 1kg,Coffee,Online,Istanbul,5,18,0,90,52.5,37.5
ORD-1006,2026-01-08,French Press,Equipment,Wholesale,Izmir,2,32,0,64,36,28
ORD-1007,2026-01-15,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,7,18,0,126,73.5,52.5
ORD-1008,2026-01-22,French Press,Equipment,Online,Izmir,4,32,0.1,115.2,72,43.2
ORD-1009,2026-01-01,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,1,18,0,18,10.5,7.5
ORD-1010,2026-01-08,French Press,Equipment,Retail Store,Izmir,6,32,0,192,108,84
ORD-1011,2026-01-15,Espresso Beans 1kg,Coffee,Online,Istanbul,3,18,0,54,31.5,22.5
ORD-1012,2026-01-22,French Press,Equipment,Wholesale,Izmir,8,32,0.15,217.6,144,73.6
ORD-1013,2026-01-01,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,5,18,0,90,52.5,37.5
ORD-1014,2026-01-08,French Press,Equipment,Online,Izmir,2,32,0,64,36,28
ORD-1015,2026-01-15,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,7,18,0.1,113.4,73.5,39.9
ORD-1016,2026-01-22,French Press,Equipment,Retail Store,Izmir,4,32,0,128,72,56
ORD-1017,2026-01-01,Espresso Beans 1kg,Coffee,Online,Istanbul,1,18,0,18,10.5,7.5
ORD-1018,2026-01-08,French Press,Equipment,Wholesale,Izmir,6,32,0,192,108,84
ORD-1019,2026-01-15,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,3,18,0,54,31.5,22.5
ORD-1020,2026-01-22,French Press,Equipment,Online,Izmir,8,32,0,256,144,112
ORD-1021,2026-01-01,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,5,18,0,90,52.5,37.5
ORD-1022,2026-01-08,French Press,Equipment,Retail Store,Izmir,2,32,0.1,57.6,36,21.6
ORD-1023,2026-01-15,Espresso Beans 1kg,Coffee,Online,Istanbul,7,18,0.15,107.1,73.5,33.6
ORD-1024,2026-01-22,French Press,Equipment,Wholesale,Izmir,4,32,0,128,72,56
ORD-1025,2026-01-01,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,1,18,0,18,10.5,7.5
ORD-1026,2026-01-08,French Press,Equipment,Online,Izmir,6,32,0,192,108,84
ORD-1027,2026-01-15,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,3,18,0,54,31.5,22.5
ORD-1028,2026-01-22,French Press,Equipment,Retail Store,Izmir,8,32,0,256,144,112
ORD-1029,2026-01-01,Espresso Beans 1kg,Coffee,Online,Istanbul,5,18,0.1,81,52.5,28.5
ORD-1030,2026-01-08,French Press,Equipment,Wholesale,Izmir,2,32,0,64,36,28
ORD-1031,2026-01-15,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,7,18,0,126,73.5,52.5
ORD-1032,2026-01-22,French Press,Equipment,Online,Izmir,4,32,0,128,72,56
ORD-1033,2026-01-01,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,1,18,0,18,10.5,7.5
ORD-1034,2026-01-08,French Press,Equipment,Retail Store,Izmir,6,32,0.15,163.2,108,55.2
ORD-1035,2026-01-15,Espresso Beans 1kg,Coffee,Online,Istanbul,3,18,0,54,31.5,22.5
ORD-1036,2026-01-22,French Press,Equipment,Wholesale,Izmir,8,32,0.1,230.4,144,86.4
ORD-1037,2026-01-01,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,5,18,0,90,52.5,37.5
ORD-1038,2026-01-08,French Press,Equipment,Online,Izmir,2,32,0,64,36,28
ORD-1039,2026-01-15,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,7,18,0,126,73.5,52.5
ORD-1040,2026-01-22,French Press,Equipment,Retail Store,Izmir,4,32,0,128,72,56
ORD-1041,2026-01-01,Espresso Beans 1kg,Coffee,Online,Istanbul,1,18,0,18,10.5,7.5
ORD-1042,2026-01-08,French Press,Equipment,Wholesale,Izmir,6,32,0,192,108,84
ORD-1043,2026-01-15,Espresso Beans 1kg,Coffee,Retail Store,Istanbul,3,18,0.1,48.6,31.5,17.1
ORD-1044,2026-01-22,French Press,Equipment,Online,Izmir,8,32,0,256,144,112
ORD-1045,2026-01-01,Espresso Beans 1kg,Coffee,Wholesale,Istanbul,5,18,0.15,76.5,52.5,24
ORD-1046,2026-01-08,French Press,Equipment,Retail Store,Izmir,2,32,0,64,36,28
ORD-1047,2026-01-15,Espresso Beans 1kg,Coffee,Online,Istanbul,7,18,0,126,73.5,52.5
ORD-1048,2026-01-22,French Press,Equipment,Wholesale,Izmir,4,32,0,128,72,56
