attempt_id,shipment_id,attempt_number,attempt_at,attempt_result,failure_reason
1,1,1,2026-01-02 11:40:13.069197,Success,
2,2,1,2026-01-01 16:15:20.816370,Success,
3,3,1,2026-01-02 00:50:18.146479,Success,
4,4,1,2026-01-04 04:58:18.747424,Success,
5,5,1,2026-01-02 02:06:58.075737,Success,
6,6,1,2026-01-05 16:32:56.351194,Failed,Address Issue
7,6,2,2026-01-05 17:45:50.979128,Success,
8,7,1,2026-01-03 20:25:13.105270,Success,
9,8,1,2026-01-01 20:52:20.637165,Success,
10,9,1,2026-01-03 22:31:26.675348,Failed,None
11,9,2,2026-01-03 23:44:29.842573,Success,
12,10,1,2026-01-02 11:07:16.703307,Success,
13,11,1,2026-01-03 22:32:27.951994,Success,
14,12,1,2026-01-05 18:29:54.648376,Success,
15,13,1,2026-01-04 07:35:05.701031,Failed,None
16,13,2,2026-01-04 08:28:04.259892,Success,
17,14,1,2026-01-03 07:14:09.098539,Failed,Carrier Capacity
18,14,2,2026-01-03 09:00:50.759782,Success,
19,15,1,2026-01-04 12:58:55.826070,Success,
20,16,1,2026-01-02 08:27:22.305177,Failed,Address Issue
21,17,1,2026-01-06 00:44:19.124602,Success,
22,18,1,2026-01-05 02:26:55.665223,Success,
23,19,1,2026-01-04 23:46:29.233906,Success,
24,20,1,2026-01-05 21:58:20.250915,Success,
25,21,1,2026-01-02 01:35:58.782165,Success,
26,22,1,2026-01-05 09:44:25.744618,Success,
27,23,1,2026-01-05 10:34:23.714127,Failed,Address Issue
28,24,1,2026-01-03 06:44:31.469775,Success,
29,25,1,2026-01-05 01:45:00.520522,Success,
30,26,1,2026-01-03 12:08:08.289712,Success,
31,27,1,2026-01-07 03:43:27.622930,Success,
32,28,1,2026-01-06 05:24:20.999359,Success,
33,29,1,2026-01-05 09:29:24.364478,Success,
34,30,1,2026-01-05 10:05:46.008031,Success,
35,31,1,2026-01-05 05:26:00.419638,Success,
36,32,1,2026-01-02 22:33:49.976431,Success,
37,33,1,2026-01-06 09:11:59.341515,Success,
38,34,1,2026-01-05 11:06:56.772060,Success,
39,35,1,2026-01-04 00:49:14.389929,Success,
40,36,1,2026-01-04 22:03:44.281255,Success,
