event_id,shipment_id,event_type,event_at,hub_id
1,1,Created,2026-01-01 15:15:00,6
2,1,Dispatched,2026-01-01 18:11:27.579989,6
3,1,Delivered,2026-01-02 11:40:13.069197,6
4,2,Created,2026-01-01 14:00:00,1
5,2,Dispatched,2026-01-01 16:34:56.831700,1
6,2,Delivered,2026-01-01 16:15:20.816370,1
7,3,Created,2026-01-01 11:45:00,3
8,3,Dispatched,2026-01-01 15:21:23.542129,3
9,3,Delivered,2026-01-02 00:50:18.146479,3
10,4,Created,2026-01-01 17:15:00,5
11,4,Dispatched,2026-01-01 20:09:02.729485,5
12,4,Delivered,2026-01-04 04:58:18.747424,5
13,5,Created,2026-01-01 12:45:00,1
14,5,Dispatched,2026-01-01 19:12:24.532246,1
15,5,Delivered,2026-01-02 02:06:58.075737,1
16,6,Created,2026-01-01 07:45:00,4
17,6,Dispatched,2026-01-01 12:41:00.284061,4
18,6,Delivered,2026-01-05 17:45:50.979128,4
19,7,Created,2026-01-01 08:45:00,6
20,7,Dispatched,2026-01-01 12:48:23.026866,6
21,7,Delivered,2026-01-03 20:25:13.105270,6
22,8,Created,2026-01-01 08:15:00,1
23,8,Dispatched,2026-01-01 12:56:12.019064,1
24,8,Delivered,2026-01-01 20:52:20.637165,1
25,9,Created,2026-01-01 16:00:00,1
26,9,Dispatched,2026-01-01 22:21:00.993685,1
27,9,Delivered,2026-01-03 23:44:29.842573,1
28,10,Created,2026-01-01 12:30:00,1
29,10,Dispatched,2026-01-01 18:02:35.631261,1
30,10,Delivered,2026-01-02 11:07:16.703307,1
31,11,Created,2026-01-01 15:00:00,2
32,11,Dispatched,2026-01-01 17:55:17.506141,2
33,11,Delivered,2026-01-03 22:32:27.951994,2
34,12,Created,2026-01-01 16:30:00,6
35,12,Dispatched,2026-01-01 21:59:14.519464,6
36,12,Delivered,2026-01-05 18:29:54.648376,6
37,13,Created,2026-01-01 14:15:00,4
38,13,Dispatched,2026-01-01 19:50:58.385663,4
39,13,Delivered,2026-01-04 08:28:04.259892,4
40,14,Created,2026-01-01 15:15:00,4
41,14,Dispatched,2026-01-01 17:12:16.155469,4
42,14,Delivered,2026-01-03 09:00:50.759782,4
43,15,Created,2026-01-01 13:30:00,1
44,15,Dispatched,2026-01-01 18:12:11.439193,1
45,15,Delivered,2026-01-04 12:58:55.826070,1
46,16,Created,2026-01-01 11:30:00,3
47,16,Dispatched,2026-01-01 17:26:41.952236,3
48,16,Delivery Failed,2026-01-02 08:27:22.305177,3
49,17,Created,2026-01-02 18:45:00,3
50,17,Dispatched,2026-01-02 23:06:06.191320,3
51,17,Delivered,2026-01-06 00:44:19.124602,3
52,18,Created,2026-01-02 16:15:00,4
53,18,Dispatched,2026-01-02 18:40:13.920562,4
54,18,Delivered,2026-01-05 02:26:55.665223,4
55,19,Created,2026-01-02 13:45:00,3
56,19,Dispatched,2026-01-02 20:22:50.358196,3
57,19,Delivered,2026-01-04 23:46:29.233906,3
58,20,Created,2026-01-02 16:15:00,3
59,20,Dispatched,2026-01-02 22:17:07.358192,3
60,20,Delivered,2026-01-05 21:58:20.250915,3
61,21,Created,2026-01-02 09:15:00,1
62,21,Dispatched,2026-01-02 12:13:24.936148,1
63,21,Delivered,2026-01-02 01:35:58.782165,1
64,22,Created,2026-01-02 10:45:00,2
65,22,Dispatched,2026-01-02 17:03:34.037881,2
66,22,Delivered,2026-01-05 09:44:25.744618,2
67,23,Created,2026-01-02 18:00:00,1
68,23,Dispatched,2026-01-02 22:29:58.285282,1
69,23,Delivery Failed,2026-01-05 10:34:23.714127,1
70,24,Created,2026-01-02 14:15:00,1
71,24,Dispatched,2026-01-02 16:27:43.979397,1
72,24,Delivered,2026-01-03 06:44:31.469775,1
73,25,Created,2026-01-02 13:45:00,6
74,25,Dispatched,2026-01-02 18:43:44.628520,6
75,25,Delivered,2026-01-05 01:45:00.520522,6
76,26,Created,2026-01-02 11:45:00,3
77,26,Dispatched,2026-01-02 13:57:56.799761,3
78,26,Delivered,2026-01-03 12:08:08.289712,3
79,27,Created,2026-01-02 09:30:00,4
80,27,Dispatched,2026-01-02 14:08:47.116705,4
81,27,Delivered,2026-01-07 03:43:27.622930,4
82,28,Created,2026-01-02 14:30:00,4
83,28,Dispatched,2026-01-02 19:15:26.898341,4
84,28,Delivered,2026-01-06 05:24:20.999359,4
85,29,Created,2026-01-02 10:30:00,1
86,29,Dispatched,2026-01-02 12:10:24.374842,1
87,29,Delivered,2026-01-05 09:29:24.364478,1
88,30,Created,2026-01-02 14:00:00,5
89,30,Dispatched,2026-01-02 15:47:25.039201,5
90,30,Delivered,2026-01-05 10:05:46.008031,5
91,31,Created,2026-01-02 15:00:00,5
92,31,Dispatched,2026-01-02 16:03:59.305381,5
93,31,Delivered,2026-01-05 05:26:00.419638,5
94,32,Created,2026-01-02 10:00:00,4
95,32,Dispatched,2026-01-02 15:45:56.287722,4
96,32,Delivered,2026-01-02 22:33:49.976431,4
97,33,Created,2026-01-02 09:00:00,4
98,33,Dispatched,2026-01-02 10:15:52.145881,4
99,33,Delivered,2026-01-06 09:11:59.341515,4
100,34,Created,2026-01-02 12:45:00,3
101,34,Dispatched,2026-01-02 19:40:44.884818,3
102,34,Delivered,2026-01-05 11:06:56.772060,3
103,35,Created,2026-01-02 14:30:00,1
104,35,Dispatched,2026-01-02 18:29:04.624804,1
105,35,Delivered,2026-01-04 00:49:14.389929,1
106,36,Created,2026-01-02 13:15:00,6
107,36,Dispatched,2026-01-02 15:29:23.285408,6
108,36,Delivered,2026-01-04 22:03:44.281255,6
109,37,Created,2026-01-02 16:30:00,3
110,37,Dispatched,2026-01-02 19:09:51.647366,3
111,37,Delivered,2026-01-02 17:18:28.806440,3
112,38,Created,2026-01-02 08:00:00,5
113,38,Dispatched,2026-01-02 12:47:00.510417,5
114,38,Delivered,2026-01-05 04:26:57.588438,5
115,39,Created,2026-01-02 10:45:00,1
116,39,Dispatched,2026-01-02 14:07:19.162511,1
117,39,Delivered,2026-01-05 02:29:38.619296,1
118,40,Created,2026-01-02 16:00:00,1
119,40,Dispatched,2026-01-02 21:31:07.437531,1
120,40,Delivered,2026-01-03 09:05:36.495342,1
121,41,Created,2026-01-03 16:15:00,4
122,41,Dispatched,2026-01-03 21:09:48.520928,4
123,41,Delivered,2026-01-06 00:21:11.553053,4
124,42,Created,2026-01-03 14:45:00,6
125,42,Dispatched,2026-01-03 15:52:16.538394,6
126,42,Delivered,2026-01-07 23:03:56.219383,6
127,43,Created,2026-01-03 10:45:00,1
128,43,Dispatched,2026-01-03 12:21:09.114339,1
129,43,Delivered,2026-01-05 13:51:13.700306,1
130,44,Created,2026-01-03 15:30:00,1
131,44,Dispatched,2026-01-03 19:52:46.435898,1
132,44,Delivered,2026-01-06 12:49:44.414000,1
133,45,Created,2026-01-03 10:45:00,4
134,45,Dispatched,2026-01-03 16:59:10.540619,4
135,45,Delivered,2026-01-05 05:58:07.930035,4
136,46,Created,2026-01-03 09:15:00,2
137,46,Dispatched,2026-01-03 11:25:57.150546,2
138,46,Delivered,2026-01-05 22:47:54.779213,2
139,47,Created,2026-01-03 12:45:00,1
140,47,Dispatched,2026-01-03 17:09:16.100772,1
141,47,Delivered,2026-01-05 23:29:19.090446,1
142,48,Created,2026-01-03 14:15:00,2
143,48,Dispatched,2026-01-03 20:58:09.044131,2
144,48,Delivered,2026-01-08 02:40:52.801642,2
145,49,Created,2026-01-03 08:15:00,4
146,49,Dispatched,2026-01-03 14:25:25.119662,4
147,49,Delivered,2026-01-06 01:09:53.234919,4
148,50,Created,2026-01-03 08:00:00,4
149,50,Dispatched,2026-01-03 09:40:14.917897,4
150,50,Delivered,2026-01-06 18:06:09.901306,4
151,51,Created,2026-01-03 11:00:00,4
152,51,Dispatched,2026-01-03 13:17:58.686098,4
153,51,Delivered,2026-01-07 22:27:20.748498,4
154,52,Created,2026-01-03 12:00:00,5
155,52,Dispatched,2026-01-03 13:47:31.139260,5
156,52,Delivered,2026-01-06 02:29:12.302173,5
157,53,Created,2026-01-03 08:00:00,1
158,53,Dispatched,2026-01-03 09:32:35.238009,1
159,53,Delivered,2026-01-05 17:22:19.985611,1
160,54,Created,2026-01-03 14:15:00,1
161,54,Dispatched,2026-01-03 17:46:57.513512,1
162,54,Delivered,2026-01-04 15:53:32.160998,1
163,55,Created,2026-01-03 07:30:00,1
164,55,Dispatched,2026-01-03 12:40:55.378238,1
165,55,Delivered,2026-01-04 01:28:30.513197,1
166,56,Created,2026-01-04 07:30:00,3
167,56,Dispatched,2026-01-04 11:40:49.503232,3
168,56,Delivered,2026-01-06 02:09:41.142079,3
169,57,Created,2026-01-04 10:45:00,1
170,57,Dispatched,2026-01-04 16:04:32.299751,1
171,57,Delivered,2026-01-08 13:58:44.385708,1
172,58,Created,2026-01-04 16:00:00,4
173,58,Dispatched,2026-01-04 17:29:57.239943,4
174,58,Delivered,2026-01-06 16:54:48.413412,4
175,59,Created,2026-01-04 17:45:00,1
176,59,Dispatched,2026-01-04 20:00:47.818868,1
177,59,Delivered,2026-01-05 21:30:53.929346,1
178,60,Created,2026-01-04 15:45:00,5
179,60,Dispatched,2026-01-04 16:59:47.908445,5
180,60,Delivered,2026-01-08 14:49:39.554789,5
181,61,Created,2026-01-04 14:30:00,3
182,61,Dispatched,2026-01-04 20:02:33.569437,3
183,61,Delivered,2026-01-07 09:17:36.229716,3
184,62,Created,2026-01-04 09:30:00,1
185,62,Dispatched,2026-01-04 16:23:45.006414,1
186,62,Delivered,2026-01-06 21:48:22.788167,1
187,63,Created,2026-01-04 15:15:00,1
188,63,Dispatched,2026-01-04 17:18:37.454839,1
189,63,Delivered,2026-01-06 22:59:45.624462,1
190,64,Created,2026-01-04 10:15:00,6
191,64,Dispatched,2026-01-04 17:00:13.415906,6
192,64,Delivered,2026-01-05 13:57:42.018204,6
193,65,Created,2026-01-04 09:45:00,6
194,65,Dispatched,2026-01-04 14:41:46.467114,6
195,65,Delivered,2026-01-07 05:43:57.731814,6
196,66,Created,2026-01-04 15:45:00,6
197,66,Dispatched,2026-01-04 18:36:57.368379,6
198,66,Delivered,2026-01-05 13:17:12.153226,6
199,67,Created,2026-01-04 11:15:00,1
200,67,Dispatched,2026-01-04 13:07:51.961779,1
201,67,Delivered,2026-01-07 00:02:02.899187,1
202,68,Created,2026-01-05 15:30:00,4
203,68,Dispatched,2026-01-05 21:05:54.885812,4
204,68,Delivered,2026-01-10 01:12:47.123544,4
205,69,Created,2026-01-05 18:00:00,1
206,69,Dispatched,2026-01-05 21:10:45.116536,1
207,69,Delivered,2026-01-06 08:35:48.855357,1
208,70,Created,2026-01-05 13:30:00,2
209,70,Dispatched,2026-01-05 15:51:53.868216,2
210,70,Delivered,2026-01-07 19:59:01.837628,2
211,71,Created,2026-01-05 18:45:00,4
212,71,Dispatched,2026-01-05 23:47:32.398081,4
213,71,Delivered,2026-01-08 07:29:43.804445,4
214,72,Created,2026-01-05 14:45:00,3
215,72,Dispatched,2026-01-05 20:31:11.169615,3
216,72,Delivered,2026-01-07 21:12:23.487882,3
217,73,Created,2026-01-05 15:30:00,1
218,73,Dispatched,2026-01-05 20:04:41.995882,1
219,73,Delivered,2026-01-08 00:57:00.377637,1
220,74,Created,2026-01-05 11:15:00,1
221,74,Dispatched,2026-01-05 15:18:06.228130,1
222,74,Delivered,2026-01-08 16:57:39.919695,1
223,75,Created,2026-01-05 10:30:00,4
224,75,Dispatched,2026-01-05 16:04:46.671863,4
225,75,Delivered,2026-01-07 18:15:06.381889,4
226,76,Created,2026-01-05 17:15:00,6
227,76,Dispatched,2026-01-05 20:24:48.678612,6
228,76,Delivered,2026-01-10 04:03:30.688304,6
229,77,Created,2026-01-05 07:30:00,4
230,77,Dispatched,2026-01-05 12:33:55.609178,4
231,77,Delivered,2026-01-08 01:19:39.705159,4
232,78,Created,2026-01-05 17:45:00,1
233,78,Dispatched,2026-01-05 20:10:57.472304,1
234,78,Delivered,2026-01-06 06:42:49.339911,1
235,79,Created,2026-01-05 18:45:00,4
236,79,Dispatched,2026-01-05 22:45:05.939293,4
237,79,Delivered,2026-01-08 02:13:05.998267,4
238,80,Created,2026-01-05 11:30:00,1
239,80,Dispatched,2026-01-05 13:59:35.930728,1
240,80,Delivered,2026-01-10 14:06:21.371540,1
241,81,Created,2026-01-05 12:30:00,3
242,81,Dispatched,2026-01-05 16:12:21.631786,3
243,81,Delivered,2026-01-07 20:36:59.735346,3
244,82,Created,2026-01-05 10:00:00,3
245,82,Dispatched,2026-01-05 12:55:08.068598,3
246,82,Delivered,2026-01-06 06:57:16.198410,3
247,83,Created,2026-01-05 08:30:00,4
248,83,Dispatched,2026-01-05 14:30:50.198457,4
249,83,Delivered,2026-01-08 06:49:16.982214,4
250,84,Created,2026-01-05 13:30:00,4
251,84,Dispatched,2026-01-05 19:44:55.438628,4
252,84,Delivered,2026-01-08 08:42:29.243646,4
253,85,Created,2026-01-05 08:30:00,4
254,85,Dispatched,2026-01-05 13:52:32.851637,4
255,85,Delivered,2026-01-07 20:47:44.790103,4
256,86,Created,2026-01-05 08:30:00,5
257,86,Dispatched,2026-01-05 13:03:07.454029,5
258,86,Delivered,2026-01-07 10:26:50.747162,5
259,87,Created,2026-01-05 17:30:00,4
260,87,Dispatched,2026-01-05 19:19:26.410179,4
261,87,Delivered,2026-01-09 15:13:03.830113,4
262,88,Created,2026-01-05 17:45:00,4
263,88,Dispatched,2026-01-05 23:57:53.230864,4
264,88,Delivered,2026-01-05 18:25:34.282543,4
265,89,Created,2026-01-05 11:30:00,1
266,89,Dispatched,2026-01-05 13:47:43.753537,1
267,89,Delivered,2026-01-08 20:33:15.276805,1
268,90,Created,2026-01-06 08:00:00,1
269,90,Dispatched,2026-01-06 10:44:48.606925,1
270,90,Delivered,2026-01-09 00:48:25.963082,1
271,91,Created,2026-01-06 15:15:00,1
272,91,Dispatched,2026-01-06 19:52:47.280703,1
273,91,Delivered,2026-01-09 07:37:04.079462,1
274,92,Created,2026-01-06 12:15:00,3
275,92,Dispatched,2026-01-06 18:38:56.950077,3
276,92,Delivered,2026-01-07 15:13:06.655626,3
277,93,Created,2026-01-06 12:30:00,1
278,93,Dispatched,2026-01-06 19:01:10.333003,1
279,93,Delivered,2026-01-09 01:36:28.525163,1
280,94,Created,2026-01-06 16:00:00,4
281,94,Dispatched,2026-01-06 17:53:10.885768,4
282,94,Delivered,2026-01-11 09:35:29.451817,4
283,95,Created,2026-01-06 16:30:00,1
284,95,Dispatched,2026-01-06 23:23:36.920464,1
285,95,Delivered,2026-01-09 10:48:22.871063,1
286,96,Created,2026-01-06 08:15:00,5
287,96,Dispatched,2026-01-06 13:56:12.871873,5
288,96,Delivered,2026-01-09 04:52:11.556603,5
289,97,Created,2026-01-06 14:15:00,1
290,97,Dispatched,2026-01-06 17:25:34.390522,1
291,97,Delivered,2026-01-06 08:49:08.456978,1
292,98,Created,2026-01-06 09:00:00,2
293,98,Dispatched,2026-01-06 10:50:23.823062,2
294,98,Delivered,2026-01-08 15:45:56.945431,2
295,99,Created,2026-01-06 17:15:00,6
296,99,Dispatched,2026-01-06 23:20:34.498859,6
297,99,Delivered,2026-01-09 13:56:35.766216,6
298,100,Created,2026-01-06 11:45:00,1
299,100,Dispatched,2026-01-06 16:41:09.654712,1
300,100,Delivered,2026-01-08 23:05:27.654141,1
301,101,Created,2026-01-07 15:15:00,1
302,101,Dispatched,2026-01-07 16:39:57.545087,1
303,101,Delivered,2026-01-09 22:09:18.286434,1
304,102,Created,2026-01-07 15:45:00,1
305,102,Dispatched,2026-01-07 21:09:28.257042,1
306,102,Delivered,2026-01-10 01:42:09.732610,1
307,103,Created,2026-01-07 11:00:00,2
308,103,Dispatched,2026-01-07 15:43:31.285384,2
309,103,Delivered,2026-01-12 02:49:23.763488,2
310,104,Created,2026-01-07 16:00:00,3
311,104,Dispatched,2026-01-07 19:00:09.357522,3
312,104,Delivered,2026-01-11 22:45:19.922073,3
313,105,Created,2026-01-07 18:45:00,1
314,105,Dispatched,2026-01-08 00:54:48.378652,1
315,105,Delivered,2026-01-10 14:56:45.321629,1
316,106,Created,2026-01-07 17:30:00,1
317,106,Dispatched,2026-01-07 20:33:28.573781,1
318,106,Delivered,2026-01-10 12:44:58.170729,1
319,107,Created,2026-01-07 15:15:00,1
320,107,Dispatched,2026-01-07 17:24:12.194924,1
321,107,Delivered,2026-01-08 05:16:17.888188,1
322,108,Created,2026-01-07 09:15:00,1
323,108,Dispatched,2026-01-07 11:53:43.713093,1
324,108,Delivery Failed,2026-01-10 05:50:50.209558,1
325,109,Created,2026-01-07 18:00:00,5
326,109,Dispatched,2026-01-07 22:26:33.492305,5
327,109,Delivered,2026-01-10 16:22:26.943762,5
328,110,Created,2026-01-07 12:45:00,4
329,110,Dispatched,2026-01-07 16:04:43.878293,4
330,110,Delivered,2026-01-09 17:17:54.088247,4
331,111,Created,2026-01-07 17:45:00,1
332,111,Dispatched,2026-01-08 00:22:28.499391,1
333,111,Delivered,2026-01-08 16:06:17.848854,1
334,112,Created,2026-01-07 17:15:00,5
335,112,Dispatched,2026-01-07 20:19:20.967204,5
336,112,Delivered,2026-01-10 21:04:28.908424,5
337,113,Created,2026-01-07 07:00:00,3
