shipment_id,priority,hub,carrier,service_level,destination_city,late_or_overdue_hours,delay_reason,order_value
3484,OPEN OVERDUE,Istanbul Central,Mavi Cargo,Same Day,Bursa,379.7,None,146.24
3491,OPEN OVERDUE,Bursa Hub,RouteOne,Next Day,Mersin,346.5,None,34.7
3494,OPEN OVERDUE,Antalya Hub,SwiftLine,Next Day,Gaziantep,343.3,None,87.77
3497,OPEN OVERDUE,Istanbul Central,Mavi Cargo,Next Day,Istanbul,336.8,None,293.59
3481,OPEN OVERDUE,Istanbul Central,Mavi Cargo,Standard,Konya,318.8,Hub Congestion,234.71
3505,OPEN OVERDUE,Istanbul Central,Mavi Cargo,Standard,Adana,269.3,None,117.69
3041,SEVERE LATE,Istanbul Central,Mavi Cargo,Standard,Adana,54.9,Vehicle Breakdown,200.92
715,SEVERE LATE,Adana Hub,RouteOne,Standard,Antalya,54.1,Vehicle Breakdown,308.94
3416,SEVERE LATE,Izmir Hub,Mavi Cargo,Next Day,Mersin,53.7,Vehicle Breakdown,19.85
1445,SEVERE LATE,Bursa Hub,Anatolia Express,Standard,Eskisehir,52.9,Vehicle Breakdown,276.58
2234,SEVERE LATE,Bursa Hub,Mavi Cargo,Standard,Gaziantep,52.5,Vehicle Breakdown,163.9
31,SEVERE LATE,Antalya Hub,Anatolia Express,Same Day,Adana,52.4,Vehicle Breakdown,281.37
1374,SEVERE LATE,Bursa Hub,SwiftLine,Standard,Bursa,52.2,Vehicle Breakdown,235.98
1414,SEVERE LATE,Istanbul Central,Anatolia Express,Next Day,Istanbul,51.9,Hub Congestion,199.93
2933,SEVERE LATE,Ankara Hub,SwiftLine,Standard,Adana,51.9,Vehicle Breakdown,164.74
807,SEVERE LATE,Ankara Hub,Anatolia Express,Standard,Adana,51.7,Hub Congestion,278.18
2466,SEVERE LATE,Izmir Hub,Anatolia Express,Standard,Konya,51.6,Hub Congestion,151.73
3078,SEVERE LATE,Istanbul Central,RouteOne,Next Day,Eskisehir,51.5,Hub Congestion,305.18
3083,SEVERE LATE,Bursa Hub,Mavi Cargo,Next Day,Bursa,51.4,Hub Congestion,126.42
718,SEVERE LATE,Ankara Hub,SwiftLine,Standard,Izmir,51.1,Hub Congestion,145.23
1367,SEVERE LATE,Bursa Hub,SwiftLine,Next Day,Istanbul,50.8,Hub Congestion,172.87
2565,SEVERE LATE,Istanbul Central,Mavi Cargo,Standard,Antalya,50.8,Hub Congestion,265.3
80,SEVERE LATE,Istanbul Central,Anatolia Express,Standard,Eskisehir,50.6,Hub Congestion,129.16
2702,SEVERE LATE,Istanbul Central,RouteOne,Same Day,Istanbul,50.3,Hub Congestion,248.61
2757,SEVERE LATE,Izmir Hub,Mavi Cargo,Same Day,Antalya,50.3,Hub Congestion,182.53
2323,SEVERE LATE,Istanbul Central,Anatolia Express,Standard,Eskisehir,49.6,Hub Congestion,54.61
2381,SEVERE LATE,Adana Hub,RouteOne,Standard,Antalya,49.5,Vehicle Breakdown,290.68
1207,SEVERE LATE,Ankara Hub,SwiftLine,Standard,Antalya,48.9,Hub Congestion,182.07
1296,SEVERE LATE,Antalya Hub,RouteOne,Standard,Ankara,48.9,Vehicle Breakdown,169.67
1276,SEVERE LATE,Ankara Hub,RouteOne,Next Day,Mersin,48.8,Hub Congestion,102.73
3384,SEVERE LATE,Antalya Hub,RouteOne,Next Day,Konya,48.6,Hub Congestion,182.36
1484,SEVERE LATE,Adana Hub,RouteOne,Same Day,Antalya,48.5,Hub Congestion,72.87
1083,SEVERE LATE,Istanbul Central,Mavi Cargo,Standard,Eskisehir,46.7,Hub Congestion,316.82
1815,SEVERE LATE,Bursa Hub,Anatolia Express,Next Day,Bursa,46.4,Hub Congestion,218.78
888,SEVERE LATE,Ankara Hub,Mavi Cargo,Standard,Gaziantep,46.3,Hub Congestion,297.31
299,SEVERE LATE,Adana Hub,Mavi Cargo,Standard,Bursa,46.1,Hub Congestion,215.68
