payment_id,member_id,billing_month,amount,payment_status
1,1,2024-07-01,45.0,Paid
2,1,2024-08-01,45.0,Paid
3,1,2024-09-01,45.0,Paid
4,1,2024-10-01,45.0,Paid
5,1,2024-11-01,45.0,Paid
6,1,2024-12-01,45.0,Paid
7,1,2025-01-01,45.0,Paid
8,1,2025-02-01,45.0,Paid
9,1,2025-03-01,45.0,Paid
10,1,2025-04-01,45.0,Paid
11,1,2025-05-01,45.0,Paid
12,1,2025-06-01,45.0,Paid
13,1,2025-07-01,45.0,Paid
14,1,2025-08-01,45.0,Paid
15,1,2025-09-01,45.0,Paid
16,1,2025-10-01,45.0,Paid
17,1,2025-11-01,45.0,Paid
18,1,2025-12-01,45.0,Paid
19,1,2026-01-01,45.0,Paid
20,1,2026-02-01,45.0,Paid
21,1,2026-03-01,45.0,Paid
22,1,2026-04-01,45.0,Paid
23,1,2026-05-01,45.0,Paid
24,1,2026-06-01,45.0,Paid
25,1,2026-07-01,45.0,Paid
26,2,2025-11-01,56.0,Paid
27,2,2025-12-01,56.0,Paid
28,2,2026-01-01,56.0,Paid
29,2,2026-02-01,56.0,Paid
30,2,2026-03-01,56.0,Paid
31,2,2026-04-01,56.0,Paid
32,2,2026-05-01,56.0,Paid
33,2,2026-06-01,56.0,Paid
34,2,2026-07-01,56.0,Paid
35,3,2024-03-01,45.0,Paid
36,3,2024-04-01,45.0,Paid
37,3,2024-05-01,45.0,Paid
38,3,2024-06-01,45.0,Paid
39,3,2024-07-01,45.0,Paid
40,3,2024-08-01,45.0,Paid
41,3,2024-09-01,45.0,Paid
42,3,2024-10-01,45.0,Paid
43,3,2024-11-01,45.0,Paid
44,3,2024-12-01,45.0,Paid
45,3,2025-01-01,45.0,Failed
46,3,2025-02-01,45.0,Paid
47,3,2025-03-01,45.0,Paid
48,3,2025-04-01,45.0,Paid
49,3,2025-05-01,45.0,Paid
50,3,2025-06-01,45.0,Paid
51,3,2025-07-01,45.0,Paid
52,3,2025-08-01,45.0,Paid
53,3,2025-09-01,45.0,Paid
54,3,2025-10-01,45.0,Paid
55,3,2025-11-01,45.0,Paid
56,3,2025-12-01,45.0,Paid
57,3,2026-01-01,45.0,Paid
58,3,2026-02-01,45.0,Paid
59,4,2024-01-01,56.0,Paid
60,4,2024-02-01,56.0,Paid
61,4,2024-03-01,56.0,Paid
62,4,2024-04-01,56.0,Paid
63,4,2024-05-01,56.0,Paid
64,4,2024-06-01,56.0,Paid
65,4,2024-07-01,56.0,Paid
66,4,2024-08-01,56.0,Paid
67,4,2024-09-01,56.0,Paid
68,4,2024-10-01,56.0,Paid
69,4,2024-11-01,56.0,Paid
70,4,2024-12-01,56.0,Paid
71,4,2025-01-01,56.0,Paid
72,4,2025-02-01,56.0,Paid
73,4,2025-03-01,56.0,Paid
74,4,2025-04-01,56.0,Paid
75,4,2025-05-01,56.0,Paid
76,4,2025-06-01,56.0,Paid
