month_end,active_members,joins,cancellations
2024-01-31,41,41,0
2024-02-29,84,43,0
2024-03-31,127,44,1
2024-04-30,180,53,0
2024-05-31,215,39,4
2024-06-30,269,55,1
2024-07-31,315,50,4
2024-08-31,354,43,4
2024-09-30,391,39,2
2024-10-31,425,36,2
2024-11-30,467,46,4
2024-12-31,501,40,6
2025-01-31,530,31,2
2025-02-28,564,37,3
2025-03-31,592,34,6
2025-04-30,638,53,7
2025-05-31,682,45,1
2025-06-30,702,30,10
2025-07-31,727,38,13
2025-08-31,758,43,12
2025-09-30,787,44,15
2025-10-31,804,25,8
2025-11-30,822,29,11
2025-12-31,852,39,9
2026-01-31,868,35,19
2026-02-28,893,45,20
2026-03-31,900,35,28
2026-04-30,910,31,21
2026-05-31,926,42,26
2026-06-30,927,35,34
2026-07-31,877,0,50
