order_id,customer_id,order_date,quantity,unit_price,order_total,status
O00001,C0002,2025-08-06,3,164.43,493.29,shipped
O00002,C0101,2025-02-07,1,82.3,82.3,shipped
O00003,C0174,2025-06-23,1,96.49,96.49,shipped
O00004,C0364,2025-05-12,5,61.14,305.7,paid
O00005,C0010,2025-04-15,3,163.32,489.96,shipped
O00006,C0394,2025-09-30,1,75.93,75.93,paid
O00007,C0387,2026-01-21,5,65.72,328.6,paid
O00008,C0086,2026-05-31,1,149.75,149.75,cancelled
O00009,C0235,2025-04-21,2,83.8,167.6,shipped
O00010,C0100,2025-11-02,5,53.56,267.8,shipped
O00011,C0122,2026-01-04,2,170.06,340.12,cancelled
O00012,C0359,2026-01-04,4,156.13,624.52,cancelled
O00013,C0158,2025-03-18,5,22.65,113.25,paid
O00014,C0263,2026-06-07,5,57.07,285.35,cancelled
O00015,C0046,2025-01-25,4,159.3,637.2,paid
O00016,C0112,2026-01-08,3,177.47,532.41,cancelled
O00017,C0024,2025-07-11,2,24.64,49.28,cancelled
O00018,C0114,2026-05-31,2,156.79,313.58,paid
O00019,C0216,2025-03-02,4,23.92,95.68,cancelled
O00020,C0026,2026-04-10,2,26.1,52.2,paid
O00021,C0129,2025-11-27,4,47.73,190.92,shipped
O00022,C0333,2025-10-24,3,94.73,284.19,paid
O00023,C0125,2026-06-19,1,119.1,119.1,shipped
O00024,C0062,2026-05-01,4,14.65,58.6,cancelled
O00025,C0297,2025-02-04,4,74.89,299.56,shipped
O00026,C0138,2025-08-17,5,25.7,128.5,shipped
O00027,C0211,2026-04-20,5,77.54,387.7,paid
O00028,C0062,2025-01-30,2,81.19,162.38,shipped
O00029,C0087,2025-09-01,2,110.17,220.34,cancelled
O00030,C0225,2025-12-15,2,179.45,358.9,paid
O00031,C0084,2025-06-24,5,23.59,117.95,shipped
O00032,C0214,2025-07-09,4,125.21,500.84,shipped
O00033,C0307,2025-03-25,3,54.34,163.02,shipped
O00034,C0166,2025-05-15,2,119.44,238.88,shipped
O00035,C0321,2026-03-12,4,178.04,712.16,cancelled
O00036,C0299,2025-11-22,4,109.53,438.12,shipped
O00037,C0380,2026-01-30,4,171.47,685.88,cancelled
O00038,C0375,2025-01-03,1,138.14,138.14,paid
O00039,C0099,2025-04-27,3,143.56,430.68,shipped
O00040,C0080,2025-10-24,3,58.46,175.38,shipped
O00041,C0079,2026-07-19,2,27.63,55.26,paid
O00042,C0253,2025-11-19,1,107.02,107.02,shipped
O00043,C0161,2026-04-12,2,125.27,250.54,cancelled
O00044,C0347,2025-02-08,5,128.52,642.6,cancelled
O00045,C0220,2025-08-01,3,140.08,420.24,cancelled
O00046,C0364,2025-09-05,1,165.47,165.47,cancelled
O00047,C0146,2026-05-20,3,101.98,305.94,cancelled
O00048,C0019,2026-03-22,1,33.89,33.89,paid
O00049,C0096,2026-05-25,2,111.51,223.02,cancelled
O00050,C0185,2026-07-22,4,167.72,670.88,paid
O00051,C0319,2025-06-03,1,142.09,142.09,cancelled
O00052,C0170,2026-07-16,4,34.35,137.4,paid
O00053,C0032,2026-03-24,5,82.26,411.3,shipped
O00054,C0393,2026-01-10,2,147.17,294.34,paid
O00055,C0063,2025-02-22,1,78.43,78.43,shipped
O00056,C0027,2026-03-26,4,40.05,160.2,paid
O00057,C0057,2025-07-24,5,71.46,357.3,paid
O00058,C0042,2026-02-19,2,100.72,201.44,paid
O00059,C0130,2026-03-26,4,112.58,450.32,cancelled
O00060,C0031,2026-04-16,1,111.37,111.37,shipped
O00061,C0019,2025-11-20,1,81.92,81.92,paid
O00062,C0117,2025-12-23,3,119.38,358.14,paid
O00063,C0127,2025-06-24,4,116.29,465.16,shipped
O00064,C0066,2025-03-23,1,121.69,121.69,paid
O00065,C0025,2025-10-03,5,138.69,693.45,cancelled
O00066,C0120,2025-02-28,3,67.19,201.57,cancelled
O00067,C0109,2025-07-03,2,101.47,202.94,cancelled
