customer_id,customer_name,region,segment,signup_date
1,Customer 001,North,SMB,2026-02-15
2,Customer 002,South,Enterprise,2025-10-13
3,Customer 003,East,Enterprise,2024-10-22
4,Customer 004,West,Mid-Market,2025-12-11
5,Customer 005,North,Enterprise,2026-04-30
6,Customer 006,South,SMB,2025-01-14
7,Customer 007,East,SMB,2024-10-25
8,Customer 008,West,Enterprise,2025-09-21
9,Customer 009,North,SMB,2024-04-08
10,Customer 010,South,SMB,2024-05-14
11,Customer 011,East,Enterprise,2024-05-08
12,Customer 012,West,SMB,2024-07-20
13,Customer 013,North,Enterprise,2026-01-06
14,Customer 014,South,Enterprise,2025-02-18
15,Customer 015,East,Mid-Market,2025-12-02
16,Customer 016,West,Enterprise,2024-11-24
17,Customer 017,North,Mid-Market,2024-09-18
18,Customer 018,South,Enterprise,2025-01-15
19,Customer 019,East,SMB,2025-07-17
20,Customer 020,West,Mid-Market,2024-09-09
21,Customer 021,North,SMB,2025-08-11
22,Customer 022,South,SMB,2025-03-28
23,Customer 023,East,Enterprise,2026-01-13
24,Customer 024,West,Mid-Market,2025-09-18
25,Customer 025,North,SMB,2024-04-25
26,Customer 026,South,Enterprise,2024-03-28
27,Customer 027,East,Enterprise,2026-03-10
28,Customer 028,West,Mid-Market,2025-02-13
29,Customer 029,North,Mid-Market,2025-12-30
30,Customer 030,South,Enterprise,2024-11-23
31,Customer 031,East,SMB,2024-03-29
32,Customer 032,West,SMB,2025-05-22
33,Customer 033,North,Mid-Market,2024-12-09
34,Customer 034,South,SMB,2025-09-16
35,Customer 035,East,Enterprise,2025-11-10
36,Customer 036,West,SMB,2025-03-26
37,Customer 037,North,Enterprise,2026-01-11
38,Customer 038,South,Enterprise,2025-08-29
39,Customer 039,East,Mid-Market,2024-09-21
40,Customer 040,West,Enterprise,2025-05-02
41,Customer 041,North,Mid-Market,2025-10-05
42,Customer 042,South,SMB,2025-11-29
43,Customer 043,East,Mid-Market,2025-08-03
44,Customer 044,West,SMB,2024-11-04
45,Customer 045,North,Mid-Market,2024-07-08
46,Customer 046,South,SMB,2025-06-26
47,Customer 047,East,Enterprise,2025-09-07
48,Customer 048,West,SMB,2024-06-08
49,Customer 049,North,Mid-Market,2025-03-05
50,Customer 050,South,SMB,2024-02-08
51,Customer 051,East,SMB,2026-04-03
52,Customer 052,West,SMB,2025-05-29
53,Customer 053,North,SMB,2024-02-02
54,Customer 054,South,Enterprise,2024-12-15
55,Customer 055,East,Enterprise,2024-03-04
56,Customer 056,West,SMB,2025-02-06
57,Customer 057,North,Enterprise,2025-06-20
58,Customer 058,South,SMB,2024-02-18
59,Customer 059,East,Mid-Market,2026-01-10
60,Customer 060,West,Enterprise,2026-01-30
61,Customer 061,North,Mid-Market,2026-03-30
62,Customer 062,South,Enterprise,2024-03-21
63,Customer 063,East,Enterprise,2025-07-14
64,Customer 064,West,SMB,2025-01-09
65,Customer 065,North,Enterprise,2024-01-19
66,Customer 066,South,SMB,2025-09-29
67,Customer 067,East,SMB,2024-04-26
68,Customer 068,West,Mid-Market,2026-02-19
69,Customer 069,North,SMB,2025-07-18
70,Customer 070,South,SMB,2025-10-27
71,Customer 071,East,Mid-Market,2025-08-26
72,Customer 072,West,Enterprise,2025-11-12
73,Customer 073,North,Mid-Market,2025-03-23
74,Customer 074,South,Enterprise,2025-12-23
75,Customer 075,East,Mid-Market,2025-11-04
76,Customer 076,West,Mid-Market,2024-04-06
77,Customer 077,North,Enterprise,2024-04-01
78,Customer 078,South,SMB,2024-12-19
79,Customer 079,East,Mid-Market,2025-01-19
80,Customer 080,West,Enterprise,2026-04-13
81,Customer 081,North,SMB,2025-02-22
82,Customer 082,South,SMB,2025-08-30
83,Customer 083,East,SMB,2025-06-21
84,Customer 084,West,Mid-Market,2025-05-28
85,Customer 085,North,Enterprise,2025-03-19
86,Customer 086,South,SMB,2024-06-07
87,Customer 087,East,SMB,2026-03-30
88,Customer 088,West,SMB,2024-08-17
89,Customer 089,North,Enterprise,2026-03-17
90,Customer 090,South,SMB,2024-02-20
91,Customer 091,East,Enterprise,2024-01-09
92,Customer 092,West,SMB,2026-01-12
93,Customer 093,North,SMB,2025-10-06
94,Customer 094,South,SMB,2024-08-03
95,Customer 095,East,Mid-Market,2024-12-11
96,Customer 096,West,Enterprise,2025-05-28
97,Customer 097,North,Enterprise,2026-01-19
98,Customer 098,South,Mid-Market,2025-09-15
99,Customer 099,East,Mid-Market,2025-10-01
100,Customer 100,West,Enterprise,2025-01-20
101,Customer 101,North,SMB,2025-11-19
102,Customer 102,South,SMB,2025-12-16
103,Customer 103,East,Enterprise,2024-07-07
104,Customer 104,West,Mid-Market,2024-12-12
105,Customer 105,North,Mid-Market,2024-09-28
106,Customer 106,South,Enterprise,2024-11-16
107,Customer 107,East,Enterprise,2024-08-27
108,Customer 108,West,Mid-Market,2026-01-23
109,Customer 109,North,Mid-Market,2026-02-10
110,Customer 110,South,SMB,2025-11-05
111,Customer 111,East,Enterprise,2025-06-25
112,Customer 112,West,SMB,2024-06-25
113,Customer 113,North,Mid-Market,2024-04-16
114,Customer 114,South,Enterprise,2025-09-26
115,Customer 115,East,Mid-Market,2024-12-16
116,Customer 116,West,Mid-Market,2025-12-13
117,Customer 117,North,SMB,2024-01-27
118,Customer 118,South,SMB,2024-06-01
119,Customer 119,East,SMB,2024-04-26
120,Customer 120,West,SMB,2025-04-05
121,Customer 121,North,SMB,2025-09-15
122,Customer 122,South,Mid-Market,2024-02-22
123,Customer 123,East,SMB,2024-07-04
124,Customer 124,West,Mid-Market,2024-07-24
125,Customer 125,North,SMB,2026-04-06
126,Customer 126,South,SMB,2025-04-10
127,Customer 127,East,Enterprise,2026-01-30
128,Customer 128,West,SMB,2024-08-02
129,Customer 129,North,Enterprise,2024-10-20
130,Customer 130,South,Mid-Market,2025-01-12
131,Customer 131,East,SMB,2026-01-13
132,Customer 132,West,Enterprise,2025-01-09
133,Customer 133,North,Enterprise,2025-03-16
134,Customer 134,South,Mid-Market,2024-05-04
135,Customer 135,East,Enterprise,2026-01-05
136,Customer 136,West,Enterprise,2024-07-22
137,Customer 137,North,SMB,2025-06-22
138,Customer 138,South,Enterprise,2025-04-27
139,Customer 139,East,Mid-Market,2024-07-03
140,Customer 140,West,Mid-Market,2024-09-18
141,Customer 141,North,Enterprise,2024-07-19
142,Customer 142,South,Mid-Market,2024-11-07
143,Customer 143,East,Mid-Market,2024-07-28
144,Customer 144,West,Enterprise,2024-10-25
145,Customer 145,North,SMB,2026-02-20
146,Customer 146,South,SMB,2025-07-25
147,Customer 147,East,SMB,2024-03-29
148,Customer 148,West,SMB,2024-05-07
149,Customer 149,North,Enterprise,2025-10-23
150,Customer 150,South,Enterprise,2026-04-24
151,Customer 151,East,SMB,2024-10-23
152,Customer 152,West,Mid-Market,2026-01-08
153,Customer 153,North,SMB,2024-04-20
154,Customer 154,South,Mid-Market,2024-02-28
155,Customer 155,East,Mid-Market,2024-05-04
156,Customer 156,West,SMB,2024-01-30
157,Customer 157,North,Enterprise,2024-01-25
158,Customer 158,South,Enterprise,2025-01-27
159,Customer 159,East,SMB,2026-04-27
160,Customer 160,West,SMB,2025-09-30
161,Customer 161,North,Mid-Market,2024-08-27
162,Customer 162,South,Enterprise,2025-01-20
163,Customer 163,East,Enterprise,2025-12-05
164,Customer 164,West,Mid-Market,2026-03-21
165,Customer 165,North,SMB,2024-05-30
166,Customer 166,South,Mid-Market,2024-02-18
167,Customer 167,East,Enterprise,2026-01-07
168,Customer 168,West,Mid-Market,2024-09-23
169,Customer 169,North,Mid-Market,2024-09-23
170,Customer 170,South,SMB,2025-07-06
171,Customer 171,East,Enterprise,2024-11-18
172,Customer 172,West,Enterprise,2024-06-21
173,Customer 173,North,SMB,2026-03-04
174,Customer 174,South,Mid-Market,2026-04-20
175,Customer 175,East,Enterprise,2025-03-20
176,Customer 176,West,SMB,2024-10-10
177,Customer 177,North,SMB,2024-09-17
178,Customer 178,South,Enterprise,2025-01-27
179,Customer 179,East,SMB,2025-08-30
180,Customer 180,West,Enterprise,2025-06-21
181,Customer 181,North,SMB,2025-07-09
182,Customer 182,South,SMB,2025-03-21
183,Customer 183,East,Enterprise,2025-08-13
184,Customer 184,West,SMB,2025-12-24
185,Customer 185,North,Mid-Market,2025-02-10
186,Customer 186,South,SMB,2025-07-11
187,Customer 187,East,Mid-Market,2025-08-02
188,Customer 188,West,Enterprise,2025-03-01
189,Customer 189,North,Mid-Market,2026-04-10
190,Customer 190,South,SMB,2025-01-25
191,Customer 191,East,Enterprise,2024-12-14
192,Customer 192,West,Mid-Market,2025-05-23
193,Customer 193,North,Enterprise,2025-08-04
194,Customer 194,South,SMB,2025-12-30
195,Customer 195,East,SMB,2024-09-20
196,Customer 196,West,Mid-Market,2025-07-20
197,Customer 197,North,Mid-Market,2025-01-06
198,Customer 198,South,SMB,2025-11-17
199,Customer 199,East,Mid-Market,2024-01-04
200,Customer 200,West,Enterprise,2024-11-01
201,Customer 201,North,SMB,2026-03-20
202,Customer 202,South,SMB,2025-07-30
203,Customer 203,East,Mid-Market,2025-12-01
204,Customer 204,West,Mid-Market,2024-04-01
205,Customer 205,North,Enterprise,2025-11-22
206,Customer 206,South,Mid-Market,2025-05-15
207,Customer 207,East,Mid-Market,2026-01-18
208,Customer 208,West,SMB,2024-12-15
209,Customer 209,North,SMB,2024-03-27
210,Customer 210,South,SMB,2025-01-06
211,Customer 211,East,SMB,2026-04-07
212,Customer 212,West,SMB,2025-03-01
213,Customer 213,North,Mid-Market,2024-07-03
214,Customer 214,South,Enterprise,2025-02-09
215,Customer 215,East,Enterprise,2024-07-12
216,Customer 216,West,Enterprise,2025-11-26
217,Customer 217,North,Mid-Market,2025-11-18
218,Customer 218,South,Mid-Market,2024-09-17
219,Customer 219,East,SMB,2025-07-08
220,Customer 220,West,SMB,2025-12-12
221,Customer 221,North,SMB,2025-07-15
222,Customer 222,South,SMB,2024-10-01
223,Customer 223,East,Enterprise,2024-04-11
224,Customer 224,West,Mid-Market,2024-02-05
225,Customer 225,North,SMB,2025-10-01
226,Customer 226,South,Enterprise,2025-09-05
227,Customer 227,East,Mid-Market,2026-02-24
228,Customer 228,West,SMB,2026-03-20
229,Customer 229,North,Mid-Market,2025-12-23
230,Customer 230,South,Mid-Market,2026-01-15
231,Customer 231,East,Enterprise,2025-07-12
232,Customer 232,West,SMB,2024-09-24
233,Customer 233,North,Enterprise,2024-12-28
234,Customer 234,South,SMB,2024-04-15
235,Customer 235,East,SMB,2024-08-13
236,Customer 236,West,SMB,2025-06-23
237,Customer 237,North,Mid-Market,2024-12-25
238,Customer 238,South,Enterprise,2024-05-13
239,Customer 239,East,SMB,2026-02-25
240,Customer 240,West,SMB,2025-06-25
