line_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,36,2,243.39,0.15
2,1,15,2,213.1,0
3,1,40,2,162.85,0
4,2,8,1,88.79,0.05
5,2,22,3,331.57,0
6,2,40,2,162.85,0.1
7,3,11,4,20.3,0.1
8,3,39,2,130.1,0
9,4,28,2,60.02,0.05
10,4,39,3,130.1,0.15
11,5,25,2,120.27,0.1
12,5,30,3,225.6,0
13,6,38,2,193.65,0.1
14,6,33,2,128.85,0.05
15,7,11,1,20.3,0
16,8,39,4,130.1,0.05
17,8,7,2,261.37,0
18,9,23,1,191.48,0
19,9,24,4,172.25,0
20,10,17,4,240.15,0.05
21,10,38,3,193.65,0.1
22,10,18,4,97.17,0.05
23,11,13,3,207.51,0.05
24,12,21,2,203.09,0.1
25,12,12,2,180.69,0.05
26,12,21,3,203.09,0.1
27,13,22,1,331.57,0.15
28,14,15,1,213.1,0
29,15,24,3,172.25,0.1
30,15,32,1,61.19,0
31,16,14,3,110.08,0
32,16,6,1,125.17,0
33,16,38,3,193.65,0.1
34,17,4,4,134.77,0.05
35,17,4,2,134.77,0.1
36,18,33,4,128.85,0
37,19,1,3,124.65,0.05
38,19,32,4,61.19,0
39,19,4,2,134.77,0.15
40,20,7,1,261.37,0.05
41,20,23,2,191.48,0.15
42,20,9,2,37.96,0.05
43,21,39,4,130.1,0
44,21,20,2,22.59,0
45,22,24,4,172.25,0
46,22,6,3,125.17,0
47,22,37,4,171.89,0.1
48,23,11,4,20.3,0
49,23,29,3,123.77,0.1
50,24,13,4,207.51,0
51,24,32,3,61.19,0
52,24,3,2,155.04,0.15
53,25,1,4,124.65,0
54,25,13,2,207.51,0
55,26,30,1,225.6,0
56,26,29,1,123.77,0
57,27,2,3,116.21,0.05
58,27,1,2,124.65,0
59,28,4,3,134.77,0.1
60,28,15,3,213.1,0
61,28,2,2,116.21,0.1
62,29,8,4,88.79,0.05
63,30,17,1,240.15,0
64,30,32,4,61.19,0.05
65,30,27,4,273.55,0
66,31,32,4,61.19,0
67,31,27,2,273.55,0
68,32,10,3,58.56,0.05
69,32,35,3,158.16,0
70,33,7,2,261.37,0.05
71,34,28,3,60.02,0.1
72,34,4,1,134.77,0
73,34,34,3,85.68,0
74,35,33,3,128.85,0.1
75,35,8,2,88.79,0.1
76,35,23,4,191.48,0
77,36,37,4,171.89,0
78,37,2,1,116.21,0.1
79,37,9,4,37.96,0.1
80,38,22,2,331.57,0
81,38,32,2,61.19,0
82,38,10,1,58.56,0
83,39,12,1,180.69,0
84,40,27,2,273.55,0
85,40,9,3,37.96,0
86,40,11,3,20.3,0
87,41,12,4,180.69,0.1
88,41,9,3,37.96,0.1
89,42,3,4,155.04,0.1
90,43,29,1,123.77,0
91,44,32,4,61.19,0.15
92,44,12,4,180.69,0.05
93,44,34,1,85.68,0
94,45,37,4,171.89,0
95,45,37,2,171.89,0
96,46,20,3,22.59,0
97,46,18,4,97.17,0
98,46,34,1,85.68,0.15
99,47,4,4,134.77,0
100,47,1,4,124.65,0.05
101,47,12,1,180.69,0
102,48,7,1,261.37,0.15
103,49,1,3,124.65,0.05
104,50,37,3,171.89,0.1
105,50,5,1,76.26,0
106,50,23,4,191.48,0
107,51,39,2,130.1,0
108,51,2,4,116.21,0
109,51,5,4,76.26,0
110,52,20,3,22.59,0
111,53,2,2,116.21,0.05
112,53,25,3,120.27,0
113,53,4,4,134.77,0.15
114,54,12,3,180.69,0
115,54,6,4,125.17,0
116,55,35,1,158.16,0
117,55,11,3,20.3,0.15
118,56,33,1,128.85,0
119,56,22,1,331.57,0.05
120,56,19,2,105.56,0.1
121,57,15,3,213.1,0.05
122,57,19,4,105.56,0.1
123,57,1,1,124.65,0
124,58,24,1,172.25,0.05
125,59,23,4,191.48,0.05
126,59,1,4,124.65,0
127,60,4,2,134.77,0.1
128,61,31,3,59.68,0.15
129,61,6,3,125.17,0
130,62,40,1,162.85,0
131,62,16,4,59.63,0.15
132,62,24,4,172.25,0.05
133,63,30,2,225.6,0.15
134,63,26,2,216.29,0.15
135,64,20,1,22.59,0
136,64,2,2,116.21,0.1
137,64,21,2,203.09,0.05
138,65,19,1,105.56,0.05
139,65,28,2,60.02,0.1
140,65,1,3,124.65,0
141,66,37,4,171.89,0.15
142,66,5,2,76.26,0
143,67,21,2,203.09,0
144,67,5,3,76.26,0.15
145,68,9,4,37.96,0
146,69,13,1,207.51,0
147,69,38,1,193.65,0.1
148,69,1,4,124.65,0.05
149,70,27,2,273.55,0
150,70,33,2,128.85,0.05
151,70,18,3,97.17,0.15
152,71,4,1,134.77,0.05
153,72,26,1,216.29,0
154,72,6,1,125.17,0.1
155,72,13,4,207.51,0
156,73,38,2,193.65,0.05
157,74,9,3,37.96,0.05
158,74,9,3,37.96,0.15
159,74,32,2,61.19,0.15
160,75,16,3,59.63,0
161,75,33,3,128.85,0.1
162,75,31,4,59.68,0.05
163,76,35,1,158.16,0.1
164,76,23,1,191.48,0.05
165,76,31,3,59.68,0
166,77,4,4,134.77,0.1
167,78,13,4,207.51,0.15
