promotion_row_id,order_id,promo_code,discount_amount
1,1,PROMO03,2.1
2,2,PROMO03,7.1
3,3,PROMO09,11.45
4,5,PROMO08,4.25
5,6,PROMO07,11.14
6,7,PROMO07,11.3
7,10,PROMO03,11.67
8,11,PROMO04,7.77
9,11,PROMO07,3.95
10,13,PROMO02,11.96
11,14,PROMO06,11.45
12,17,PROMO02,5.91
13,17,PROMO02,11.54
14,20,PROMO02,3.3
15,22,PROMO04,10.03
16,23,PROMO02,4.55
17,27,PROMO09,5.17
18,28,PROMO07,5.98
19,32,PROMO03,6.33
20,37,PROMO01,7.71
21,37,PROMO03,7.97
22,38,PROMO06,5.72
23,40,PROMO03,4.07
24,41,PROMO06,4.39
25,42,PROMO07,2.93
26,45,PROMO02,11.45
27,46,PROMO09,8.79
28,46,PROMO09,5.56
29,48,PROMO06,8.38
30,48,PROMO04,7.83
31,51,PROMO04,4.19
32,54,PROMO06,8.28
33,54,PROMO07,4.15
34,55,PROMO05,5.9
35,55,PROMO05,4.58
36,56,PROMO05,2.4
37,60,PROMO03,8.8
38,61,PROMO09,2.3
39,63,PROMO01,3.3
40,67,PROMO03,4.69
41,68,PROMO07,3.56
42,69,PROMO07,4.1
43,71,PROMO06,3.1
44,74,PROMO03,11.38
45,75,PROMO03,4.89
46,78,PROMO06,4.57
47,79,PROMO02,4.4
48,80,PROMO09,5.04
49,81,PROMO02,5.96
50,83,PROMO08,3.76
51,84,PROMO06,5.01
52,85,PROMO03,2.03
53,86,PROMO05,8.19
54,87,PROMO01,9.75
55,88,PROMO06,6.01
56,89,PROMO03,9.99
57,90,PROMO08,10.04
58,91,PROMO07,4.3
59,94,PROMO09,2.79
60,97,PROMO05,9.82
61,99,PROMO04,9.75
62,100,PROMO07,3.26
63,101,PROMO08,3.41
64,106,PROMO09,3.1
65,109,PROMO07,7.68
66,110,PROMO06,9.3
67,111,PROMO03,5.0
68,115,PROMO06,3.73
69,116,PROMO02,6.11
70,117,PROMO05,9.15
71,122,PROMO07,7.35
72,122,PROMO04,5.96
73,123,PROMO03,5.22
74,126,PROMO06,5.2
75,127,PROMO08,11.94
76,129,PROMO04,9.52
77,129,PROMO06,10.3
78,131,PROMO07,9.63
79,131,PROMO08,11.35
80,133,PROMO02,7.11
81,135,PROMO02,9.71
82,138,PROMO05,3.58
83,139,PROMO08,8.78
84,143,PROMO07,8.93
85,144,PROMO02,5.7
86,144,PROMO04,9.58
87,148,PROMO02,7.91
88,152,PROMO08,8.71
89,153,PROMO08,2.87
90,159,PROMO05,10.82
91,162,PROMO03,6.57
92,162,PROMO05,8.71
93,164,PROMO09,10.47
94,165,PROMO09,2.65
95,167,PROMO02,4.62
96,168,PROMO01,11.56
97,168,PROMO08,6.51
98,169,PROMO05,4.8
99,170,PROMO03,5.0
100,171,PROMO08,4.38
101,171,PROMO03,9.92
102,172,PROMO01,2.54
103,172,PROMO08,3.49
104,173,PROMO05,7.85
105,174,PROMO05,10.93
106,175,PROMO02,5.55
107,178,PROMO09,11.58
108,181,PROMO06,9.54
109,181,PROMO04,10.71
110,189,PROMO01,7.62
111,191,PROMO06,9.8
112,193,PROMO07,6.31
113,194,PROMO09,2.11
114,195,PROMO03,2.49
115,197,PROMO03,4.73
116,198,PROMO04,8.43
117,199,PROMO06,8.76
118,200,PROMO05,11.84
119,203,PROMO01,9.73
120,204,PROMO04,11.84
121,205,PROMO05,9.24
122,206,PROMO01,5.89
123,207,PROMO06,5.51
124,210,PROMO08,5.55
125,211,PROMO02,11.64
126,212,PROMO06,7.12
127,214,PROMO06,3.22
128,217,PROMO08,8.67
129,221,PROMO07,10.63
130,221,PROMO06,6.79
131,222,PROMO09,6.64
132,224,PROMO05,2.04
133,226,PROMO07,7.59
134,226,PROMO09,5.34
135,229,PROMO04,7.4
136,230,PROMO03,2.73
137,232,PROMO07,8.34
138,234,PROMO05,9.1
139,235,PROMO09,8.59
140,236,PROMO08,11.35
141,236,PROMO06,5.03
142,239,PROMO08,11.38
143,241,PROMO06,11.49
144,242,PROMO05,6.68
145,246,PROMO02,7.99
146,247,PROMO09,6.65
147,249,PROMO03,7.83
148,250,PROMO03,5.19
149,254,PROMO08,10.46
150,255,PROMO07,6.45
151,258,PROMO07,11.56
152,259,PROMO08,3.59
153,260,PROMO08,6.88
154,261,PROMO08,8.52
155,262,PROMO03,10.5
156,262,PROMO06,5.89
157,265,PROMO08,11.29
158,265,PROMO01,7.6
159,272,PROMO06,5.5
160,273,PROMO06,5.57
161,275,PROMO06,7.26
162,275,PROMO05,4.29
163,276,PROMO07,6.62
164,277,PROMO02,10.46
165,280,PROMO09,4.47
166,282,PROMO02,2.46
167,283,PROMO05,4.81
168,284,PROMO02,10.22
169,286,PROMO03,4.24
170,288,PROMO06,10.97
171,291,PROMO09,6.61
172,292,PROMO03,6.89
173,292,PROMO07,4.12
174,294,PROMO07,5.55
175,295,PROMO03,2.06
176,296,PROMO07,6.81
177,297,PROMO08,2.78
178,298,PROMO04,6.79
179,298,PROMO02,5.11
180,299,PROMO05,6.63
181,299,PROMO01,5.54
182,300,PROMO04,7.08
183,301,PROMO02,10.91
184,304,PROMO08,3.05
185,305,PROMO09,2.62
186,306,PROMO07,9.56
187,306,PROMO02,11.12
188,309,PROMO06,5.83
189,310,PROMO09,9.32
190,310,PROMO05,3.27
191,311,PROMO05,3.48
192,313,PROMO08,7.73
193,314,PROMO04,2.39
194,317,PROMO05,10.53
195,320,PROMO05,6.13
196,320,PROMO04,7.44
197,321,PROMO05,10.35
198,323,PROMO01,2.79
199,323,PROMO06,5.8
200,324,PROMO04,11.42
201,325,PROMO04,9.23
202,325,PROMO03,6.23
203,326,PROMO05,2.49
204,327,PROMO07,7.34
205,328,PROMO04,6.05
206,329,PROMO07,3.48
207,331,PROMO09,11.45
208,335,PROMO05,10.72
209,336,PROMO05,10.51
210,338,PROMO03,6.36
211,340,PROMO04,6.62
212,341,PROMO05,6.94
213,343,PROMO03,10.02
214,343,PROMO07,11.03
215,344,PROMO06,11.46
216,345,PROMO04,3.21
217,346,PROMO08,4.13
218,348,PROMO06,7.43
219,353,PROMO03,6.11
220,356,PROMO08,6.72
221,357,PROMO06,3.47
222,362,PROMO02,7.23
223,365,PROMO03,11.05
224,368,PROMO03,4.57
225,368,PROMO04,8.69
226,369,PROMO09,8.05
227,374,PROMO07,10.13
228,375,PROMO07,6.1
229,376,PROMO01,4.47
230,377,PROMO08,6.36
231,380,PROMO06,10.19
232,383,PROMO05,5.1
233,385,PROMO09,3.34
234,385,PROMO08,2.26
235,386,PROMO03,3.16
236,390,PROMO08,11.98
237,391,PROMO07,10.13
238,392,PROMO02,3.21
239,393,PROMO08,9.95
240,395,PROMO07,11.26
241,396,PROMO09,3.67
242,397,PROMO02,4.99
243,402,PROMO03,11.61
244,403,PROMO02,4.93
245,405,PROMO06,9.97
246,406,PROMO09,9.5
247,407,PROMO08,3.58
248,410,PROMO09,4.05
249,410,PROMO09,8.46
250,412,PROMO05,3.55
251,413,PROMO02,2.94
252,416,PROMO01,2.66
253,417,PROMO02,4.96
254,417,PROMO06,6.51
255,421,PROMO09,7.1
256,422,PROMO05,10.42
257,423,PROMO03,4.42
258,426,PROMO04,7.08
259,427,PROMO03,7.57
260,430,PROMO07,2.94
261,432,PROMO09,8.63
262,433,PROMO07,6.62
263,433,PROMO05,10.65
