product_id,product_name,category,unit_cost,list_price
1,Product 01,Electronics,76.75,124.65
2,Product 02,Home,80.45,116.21
3,Product 03,Office,97.06,155.04
4,Product 04,Fitness,77.19,134.77
5,Product 05,Electronics,52.81,76.26
6,Product 06,Home,92.69,125.17
7,Product 07,Office,162.65,261.37
8,Product 08,Fitness,48.5,88.79
9,Product 09,Electronics,21.08,37.96
10,Product 10,Home,39.86,58.56
11,Product 11,Office,13.25,20.3
12,Product 12,Fitness,121.82,180.69
13,Product 13,Electronics,111.03,207.51
14,Product 14,Home,80.68,110.08
15,Product 15,Office,127.7,213.1
16,Product 16,Fitness,39.3,59.63
17,Product 17,Electronics,154.15,240.15
18,Product 18,Home,67.49,97.17
19,Product 19,Office,59.14,105.56
20,Product 20,Fitness,16.31,22.59
21,Product 21,Electronics,131.66,203.09
22,Product 22,Home,176.54,331.57
23,Product 23,Office,120.41,191.48
24,Product 24,Fitness,119.69,172.25
25,Product 25,Electronics,69.08,120.27
26,Product 26,Home,140.38,216.29
27,Product 27,Office,164.32,273.55
28,Product 28,Fitness,32.74,60.02
29,Product 29,Electronics,88.53,123.77
30,Product 30,Home,162.21,225.6
31,Product 31,Office,38.13,59.68
32,Product 32,Fitness,33.56,61.19
33,Product 33,Electronics,77.95,128.85
34,Product 34,Home,62.22,85.68
35,Product 35,Office,110.78,158.16
36,Product 36,Fitness,147.91,243.39
37,Product 37,Electronics,126.42,171.89
38,Product 38,Home,141.08,193.65
39,Product 39,Office,68.5,130.1
40,Product 40,Fitness,109.75,162.85
