AppointmentID,AppointmentDate,AppointmentTime,BookingDate,CustomerID,StaffID,ServiceID,Status,BookingChannel,DiscountPct,NetRevenue,BookedMinutes
A00001,2026-01-01,09:30,2026-01-01,C148,ST04,SV07,Completed,Walk-in,0,70,60
A00002,2026-01-01,12:00,2025-12-13,C158,ST03,SV03,Completed,Walk-in,0,115,120
A00003,2026-01-01,09:30,2025-12-19,C136,ST03,SV07,Completed,Online,0,70,60
A00004,2026-01-01,16:00,2025-12-13,C141,ST03,SV08,Completed,Walk-in,0,25,30
A00005,2026-01-01,15:30,2025-12-22,C178,ST02,SV06,Completed,Walk-in,0,48,75
A00006,2026-01-01,09:30,2025-12-15,C143,ST03,SV02,Cancelled,Online,0,0,40
A00007,2026-01-01,12:30,2025-12-27,C067,ST05,SV04,Completed,Walk-in,0.05,137.75,150
A00008,2026-01-02,15:30,2025-12-26,C029,ST05,SV04,Cancelled,Online,0,0,150
A00009,2026-01-02,09:00,2025-12-24,C134,ST03,SV05,Completed,Walk-in,0,30,45
A00010,2026-01-02,11:00,2025-12-13,C058,ST05,SV08,Cancelled,Phone,0.1,0,30
A00011,2026-01-02,10:30,2025-12-19,C033,ST02,SV02,Completed,Phone,0,32,40
A00012,2026-01-02,17:30,2025-12-31,C156,ST01,SV05,Cancelled,Walk-in,0.05,0,45
A00013,2026-01-02,14:30,2025-12-15,C106,ST03,SV03,Completed,Walk-in,0.05,109.25,120
A00014,2026-01-02,10:30,2026-01-01,C001,ST05,SV07,Completed,Phone,0,70,60
A00015,2026-01-03,18:00,2025-12-30,C162,ST05,SV04,No-show,Phone,0,0,150
A00016,2026-01-03,10:30,2025-12-18,C070,ST01,SV05,Completed,Phone,0,30,45
A00017,2026-01-03,14:00,2025-12-18,C176,ST01,SV05,Completed,Phone,0,30,45
A00018,2026-01-03,16:30,2026-01-01,C057,ST03,SV04,Completed,Phone,0,145,150
A00019,2026-01-03,11:30,2026-01-03,C061,ST01,SV01,No-show,Online,0,0,60
A00020,2026-01-03,11:30,2025-12-22,C035,ST03,SV05,Completed,Phone,0,30,45
A00021,2026-01-03,09:30,2025-12-19,C045,ST05,SV06,Completed,Online,0,48,75
A00022,2026-01-03,18:00,2025-12-21,C151,ST01,SV05,Cancelled,Phone,0.1,0,45
A00023,2026-01-03,10:00,2025-12-23,C012,ST02,SV02,Completed,Phone,0,32,40
A00024,2026-01-05,17:30,2026-01-01,C088,ST03,SV06,Completed,Phone,0,48,75
