CustomerID,CustomerName,CustomerType,AcquisitionSource
C001,Client 001,New,Instagram
C002,Client 002,Returning,Walk-in
C003,Client 003,Returning,Referral
C004,Client 004,Returning,Walk-in
C005,Client 005,New,Walk-in
C006,Client 006,Returning,Instagram
C007,Client 007,Returning,Website
C008,Client 008,Returning,Google
C009,Client 009,New,Walk-in
C010,Client 010,New,Website
C011,Client 011,Returning,Referral
C012,Client 012,Returning,Instagram
C013,Client 013,New,Instagram
C014,Client 014,New,Website
C015,Client 015,New,Instagram
C016,Client 016,Returning,Walk-in
C017,Client 017,New,Google
C018,Client 018,New,Referral
C019,Client 019,Returning,Referral
C020,Client 020,New,Google
C021,Client 021,Returning,Instagram
C022,Client 022,Returning,Google
C023,Client 023,New,Google
C024,Client 024,Returning,Referral
C025,Client 025,New,Website
C026,Client 026,New,Google
C027,Client 027,New,Instagram
C028,Client 028,New,Instagram
C029,Client 029,Returning,Walk-in
C030,Client 030,New,Google
C031,Client 031,New,Google
C032,Client 032,Returning,Walk-in
C033,Client 033,New,Walk-in
C034,Client 034,Returning,Instagram
C035,Client 035,Returning,Instagram
C036,Client 036,Returning,Referral
C037,Client 037,New,Google
C038,Client 038,Returning,Website
C039,Client 039,New,Instagram
C040,Client 040,New,Referral
C041,Client 041,New,Google
C042,Client 042,Returning,Google
C043,Client 043,New,Referral
C044,Client 044,New,Website
C045,Client 045,New,Referral
C046,Client 046,New,Walk-in
C047,Client 047,Returning,Instagram
C048,Client 048,Returning,Referral
C049,Client 049,Returning,Walk-in
C050,Client 050,Returning,Referral
C051,Client 051,New,Referral
C052,Client 052,New,Google
C053,Client 053,New,Walk-in
C054,Client 054,New,Referral
C055,Client 055,Returning,Google
C056,Client 056,New,Instagram
C057,Client 057,New,Google
C058,Client 058,Returning,Walk-in
C059,Client 059,Returning,Instagram
C060,Client 060,Returning,Google
C061,Client 061,New,Walk-in
C062,Client 062,New,Website
C063,Client 063,Returning,Website
C064,Client 064,Returning,Website
C065,Client 065,New,Google
C066,Client 066,New,Website
C067,Client 067,Returning,Google
C068,Client 068,New,Referral
C069,Client 069,Returning,Walk-in
C070,Client 070,Returning,Walk-in
C071,Client 071,New,Referral
C072,Client 072,New,Referral
C073,Client 073,Returning,Instagram
C074,Client 074,Returning,Google
C075,Client 075,New,Walk-in
C076,Client 076,New,Google
C077,Client 077,Returning,Website
C078,Client 078,New,Instagram
C079,Client 079,New,Website
C080,Client 080,New,Referral
C081,Client 081,Returning,Instagram
C082,Client 082,New,Instagram
C083,Client 083,Returning,Instagram
C084,Client 084,New,Instagram
C085,Client 085,Returning,Referral
C086,Client 086,New,Instagram
C087,Client 087,New,Google
C088,Client 088,Returning,Instagram
C089,Client 089,Returning,Walk-in
C090,Client 090,New,Website
C091,Client 091,New,Google
C092,Client 092,Returning,Google
C093,Client 093,Returning,Walk-in
C094,Client 094,New,Google
C095,Client 095,New,Referral
C096,Client 096,New,Instagram
C097,Client 097,Returning,Website
C098,Client 098,Returning,Referral
C099,Client 099,New,Referral
C100,Client 100,New,Walk-in
C101,Client 101,New,Walk-in
C102,Client 102,Returning,Website
C103,Client 103,New,Instagram
C104,Client 104,Returning,Instagram
C105,Client 105,Returning,Instagram
C106,Client 106,Returning,Website
C107,Client 107,New,Walk-in
C108,Client 108,New,Instagram
C109,Client 109,New,Instagram
C110,Client 110,New,Instagram
C111,Client 111,New,Website
C112,Client 112,Returning,Referral
C113,Client 113,New,Instagram
C114,Client 114,New,Instagram
C115,Client 115,Returning,Instagram
C116,Client 116,New,Instagram
C117,Client 117,New,Website
C118,Client 118,New,Website
C119,Client 119,Returning,Referral
C120,Client 120,Returning,Google
C121,Client 121,New,Google
C122,Client 122,Returning,Instagram
C123,Client 123,New,Walk-in
C124,Client 124,Returning,Instagram
C125,Client 125,New,Referral
C126,Client 126,New,Referral
C127,Client 127,New,Instagram
C128,Client 128,New,Referral
C129,Client 129,Returning,Walk-in
C130,Client 130,Returning,Google
C131,Client 131,New,Website
C132,Client 132,Returning,Walk-in
C133,Client 133,Returning,Instagram
C134,Client 134,Returning,Instagram
C135,Client 135,Returning,Referral
C136,Client 136,Returning,Referral
C137,Client 137,New,Walk-in
C138,Client 138,Returning,Website
C139,Client 139,New,Referral
C140,Client 140,Returning,Instagram
C141,Client 141,New,Website
C142,Client 142,New,Instagram
C143,Client 143,New,Instagram
C144,Client 144,Returning,Instagram
C145,Client 145,New,Walk-in
C146,Client 146,New,Referral
C147,Client 147,Returning,Referral
C148,Client 148,New,Website
C149,Client 149,New,Walk-in
C150,Client 150,New,Referral
C151,Client 151,New,Walk-in
C152,Client 152,New,Google
C153,Client 153,New,Instagram
C154,Client 154,Returning,Referral
C155,Client 155,New,Instagram
C156,Client 156,New,Instagram
C157,Client 157,New,Walk-in
C158,Client 158,Returning,Google
C159,Client 159,Returning,Google
C160,Client 160,New,Instagram
C161,Client 161,Returning,Instagram
C162,Client 162,New,Website
C163,Client 163,Returning,Google
C164,Client 164,Returning,Website
C165,Client 165,Returning,Walk-in
C166,Client 166,New,Website
C167,Client 167,New,Website
C168,Client 168,New,Website
C169,Client 169,Returning,Instagram
C170,Client 170,Returning,Referral
C171,Client 171,Returning,Referral
C172,Client 172,Returning,Referral
C173,Client 173,New,Website
C174,Client 174,Returning,Instagram
C175,Client 175,New,Walk-in
C176,Client 176,Returning,Walk-in
C177,Client 177,Returning,Referral
C178,Client 178,Returning,Referral
C179,Client 179,Returning,Google
C180,Client 180,New,Website
