property_id,property_name,district,manager,units
"P01","Harbor Point","Kadikoy","Aylin Kaya","8"
"P02","Maple Court","Besiktas","Mert Demir","8"
"P03","Orchid House","Sisli","Selin Arslan","8"
"P04","Parkline","Uskudar","Aylin Kaya","8"
"P05","Cedar Residence","Kadikoy","Mert Demir","8"
"P06","Bluegate","Besiktas","Selin Arslan","8"
"P07","Marmara View","Sisli","Aylin Kaya","8"
"P08","Linden Court","Uskudar","Mert Demir","8"
"P09","Nova Apartments","Kadikoy","Selin Arslan","8"
"P10","Bosporus Place","Besiktas","Aylin Kaya","8"
"P11","Sunset House","Sisli","Mert Demir","8"
"P12","Metro Lofts","Uskudar","Selin Arslan","8"
