CustomerKey,CustomerID,CustomerName,Segment,City,Country
1,C001,Customer 001,Small Business,Bursa,Türkiye
2,C002,Customer 002,Consumer,Istanbul,Türkiye
3,C003,Customer 003,Corporate,Izmir,Türkiye
4,C004,Customer 004,Small Business,Istanbul,Türkiye
5,C005,Customer 005,Corporate,Antalya,Türkiye
6,C006,Customer 006,Small Business,Ankara,Türkiye
7,C007,Customer 007,Corporate,Ankara,Türkiye
8,C008,Customer 008,Consumer,Ankara,Türkiye
9,C009,Customer 009,Corporate,Izmir,Türkiye
10,C010,Customer 010,Small Business,Istanbul,Türkiye
11,C011,Customer 011,Small Business,Antalya,Türkiye
12,C012,Customer 012,Small Business,Istanbul,Türkiye
13,C013,Customer 013,Corporate,Antalya,Türkiye
14,C014,Customer 014,Small Business,Istanbul,Türkiye
15,C015,Customer 015,Consumer,Antalya,Türkiye
16,C016,Customer 016,Consumer,Izmir,Türkiye
17,C017,Customer 017,Corporate,Istanbul,Türkiye
18,C018,Customer 018,Consumer,Bursa,Türkiye
19,C019,Customer 019,Consumer,Antalya,Türkiye
20,C020,Customer 020,Small Business,Antalya,Türkiye
21,C021,Customer 021,Corporate,Ankara,Türkiye
22,C022,Customer 022,Corporate,Bursa,Türkiye
23,C023,Customer 023,Consumer,Izmir,Türkiye
24,C024,Customer 024,Corporate,Izmir,Türkiye
25,C025,Customer 025,Corporate,Izmir,Türkiye
26,C026,Customer 026,Corporate,Bursa,Türkiye
27,C027,Customer 027,Corporate,Izmir,Türkiye
28,C028,Customer 028,Small Business,Istanbul,Türkiye
29,C029,Customer 029,Consumer,Istanbul,Türkiye
30,C030,Customer 030,Consumer,Bursa,Türkiye
31,C031,Customer 031,Corporate,Bursa,Türkiye
32,C032,Customer 032,Consumer,Antalya,Türkiye
33,C033,Customer 033,Small Business,Ankara,Türkiye
34,C034,Customer 034,Small Business,Bursa,Türkiye
35,C035,Customer 035,Small Business,Ankara,Türkiye
36,C036,Customer 036,Consumer,Antalya,Türkiye
37,C037,Customer 037,Consumer,Izmir,Türkiye
38,C038,Customer 038,Consumer,Antalya,Türkiye
39,C039,Customer 039,Small Business,Ankara,Türkiye
40,C040,Customer 040,Corporate,Izmir,Türkiye
41,C041,Customer 041,Corporate,Bursa,Türkiye
42,C042,Customer 042,Small Business,Istanbul,Türkiye
43,C043,Customer 043,Corporate,Ankara,Türkiye
44,C044,Customer 044,Corporate,Antalya,Türkiye
45,C045,Customer 045,Consumer,Bursa,Türkiye
46,C046,Customer 046,Small Business,Ankara,Türkiye
47,C047,Customer 047,Small Business,Antalya,Türkiye
48,C048,Customer 048,Consumer,Bursa,Türkiye
49,C049,Customer 049,Consumer,Bursa,Türkiye
50,C050,Customer 050,Small Business,Istanbul,Türkiye
51,C051,Customer 051,Consumer,Antalya,Türkiye
52,C052,Customer 052,Small Business,Izmir,Türkiye
53,C053,Customer 053,Small Business,Istanbul,Türkiye
54,C054,Customer 054,Consumer,Istanbul,Türkiye
55,C055,Customer 055,Corporate,Ankara,Türkiye
56,C056,Customer 056,Small Business,Izmir,Türkiye
57,C057,Customer 057,Consumer,Istanbul,Türkiye
58,C058,Customer 058,Consumer,Izmir,Türkiye
