SalesLineKey,OrderID,DateKey,CustomerKey,ProductKey,StoreKey,Quantity,DiscountPct,SalesAmount,CostAmount,ProfitAmount
1,ORD-0001,20260530,118,2,3,4,0,316,168,148
2,ORD-0002,20260613,47,1,2,2,0,68,36,32
3,ORD-0003,20260406,12,2,2,4,0.15,268.6,168,100.6
4,ORD-0003,20260406,12,1,2,5,0.15,144.5,90,54.5
5,ORD-0004,20260204,19,9,4,4,0.1,428.4,252,176.4
6,ORD-0005,20260324,123,9,2,2,0,238,126,112
7,ORD-0005,20260324,123,12,2,1,0.1,359.1,225,134.1
8,ORD-0006,20260719,106,8,3,1,0,45,20,25
9,ORD-0007,20260204,29,11,4,1,0.05,208.05,115,93.05
10,ORD-0008,20260628,15,3,2,3,0,165,84,81
11,ORD-0008,20260628,15,4,2,3,0,747,435,312
12,ORD-0009,20260621,28,9,3,2,0,238,126,112
13,ORD-0009,20260621,28,3,3,1,0.05,52.25,28,24.25
14,ORD-0010,20260227,65,5,2,5,0.1,220.5,110,110.5
15,ORD-0011,20260626,85,11,3,4,0,876,460,416
16,ORD-0011,20260626,85,5,3,1,0.15,41.65,22,19.65
17,ORD-0012,20260513,106,7,1,5,0.15,378.25,220,158.25
18,ORD-0012,20260513,106,2,1,2,0.05,150.1,84,66.1
19,ORD-0013,20260131,135,8,2,1,0,45,20,25
20,ORD-0014,20260404,49,3,1,1,0.05,52.25,28,24.25
21,ORD-0014,20260404,49,10,1,4,0,300,144,156
22,ORD-0015,20260213,152,8,4,2,0,90,40,50
23,ORD-0015,20260213,152,5,4,1,0,49,22,27
24,ORD-0016,20260111,124,5,2,5,0.15,208.25,110,98.25
25,ORD-0017,20260609,32,12,3,5,0.05,1895.25,1125,770.25
26,ORD-0017,20260609,32,12,3,2,0,798,450,348
27,ORD-0018,20260628,55,1,1,4,0,136,72,64
28,ORD-0019,20260315,125,3,2,2,0.1,99.0,56,43.0
29,ORD-0019,20260315,125,12,2,3,0,1197,675,522
30,ORD-0020,20260619,25,1,3,5,0,170,90,80
31,ORD-0020,20260619,25,2,3,3,0,237,126,111
32,ORD-0020,20260619,25,6,3,5,0.15,590.75,390,200.75
33,ORD-0021,20260624,120,2,4,2,0.15,134.3,84,50.3
34,ORD-0021,20260624,120,12,4,5,0,1995,1125,870
35,ORD-0022,20260517,116,2,3,2,0.05,150.1,84,66.1
36,ORD-0023,20260710,136,5,3,2,0.1,88.2,44,44.2
37,ORD-0023,20260710,136,9,3,1,0,119,63,56
38,ORD-0024,20260215,95,9,3,5,0.05,565.25,315,250.25
39,ORD-0024,20260215,95,8,3,5,0,225,100,125
40,ORD-0025,20260302,27,7,1,1,0.15,75.65,44,31.65
41,ORD-0025,20260302,27,8,1,2,0.15,76.5,40,36.5
42,ORD-0026,20260404,83,9,1,1,0,119,63,56
43,ORD-0027,20260306,90,11,3,2,0.15,372.3,230,142.3
44,ORD-0027,20260306,90,9,3,3,0.1,321.3,189,132.3
45,ORD-0028,20260325,136,10,1,1,0,75,36,39
46,ORD-0029,20260214,168,5,2,1,0,49,22,27
47,ORD-0029,20260214,168,5,2,5,0.05,232.75,110,122.75
48,ORD-0029,20260214,168,11,2,1,0.05,208.05,115,93.05
49,ORD-0030,20260627,147,11,2,2,0.1,394.2,230,164.2
50,ORD-0030,20260627,147,5,2,5,0,245,110,135
51,ORD-0030,20260627,147,9,2,1,0.05,113.05,63,50.05
52,ORD-0031,20260706,42,6,2,1,0,139,78,61
53,ORD-0032,20260722,127,6,2,3,0,417,234,183
54,ORD-0033,20260119,159,9,2,1,0.05,113.05,63,50.05
55,ORD-0034,20260723,23,12,1,5,0.05,1895.25,1125,770.25
56,ORD-0035,20260530,123,1,1,1,0,34,18,16
57,ORD-0036,20260625,136,8,3,4,0,180,80,100
58,ORD-0037,20260224,78,4,4,4,0,996,580,416
59,ORD-0038,20260730,17,4,3,1,0.1,224.1,145,79.1
60,ORD-0039,20260122,176,11,2,4,0.05,832.2,460,372.2
61,ORD-0039,20260122,176,7,2,5,0,445,220,225
62,ORD-0040,20260707,132,5,1,5,0.15,208.25,110,98.25
63,ORD-0041,20260723,135,3,2,4,0,220,112,108
64,ORD-0042,20260619,87,11,2,4,0.1,788.4,460,328.4
65,ORD-0042,20260619,87,8,2,1,0.15,38.25,20,18.25
66,ORD-0043,20260116,76,1,3,1,0.1,30.6,18,12.6
67,ORD-0044,20260312,65,5,1,1,0.05,46.55,22,24.55
68,ORD-0044,20260312,65,10,1,3,0,225,108,117
69,ORD-0044,20260312,65,5,1,1,0,49,22,27
70,ORD-0045,20260716,58,4,1,4,0.15,846.6,580,266.6
71,ORD-0045,20260716,58,5,1,4,0.05,186.2,88,98.2
