SaleID,OrderDate,ProductID,Category,Channel,Region,Quantity,Revenue,Cost,Profit
S00001,2025-01-01,P05,Storage,Online,Marmara,5,245,151.86,93.14
S00002,2025-01-01,P02,Audio,Online,Marmara,5,1245,664.96,580.04
S00003,2025-01-01,P02,Audio,Retail,Marmara,1,75,44.35,30.65
S00004,2025-01-02,P04,Office,Online,Aegean,4,285.0,172.08,112.92
S00005,2025-01-03,P04,Office,Marketplace,Aegean,3,537,346.09,190.91
S00006,2025-01-03,P05,Storage,Online,Aegean,2,135.0,81.72,53.28
S00007,2025-01-03,P03,Displays,Online,Marmara,5,565.25,335.99,229.26
S00008,2025-01-03,P03,Displays,Online,Central Anatolia,6,1494,801.93,692.07
S00009,2025-01-04,P01,Accessories,Marketplace,Central Anatolia,5,535.5,321.03,214.47
S00010,2025-01-04,P01,Accessories,Marketplace,Aegean,2,358,191.57,166.43
S00011,2025-01-04,P01,Accessories,Marketplace,Marmara,4,896.4,512.9,383.5
S00012,2025-01-05,P03,Displays,Marketplace,Central Anatolia,5,1120.5,738.71,381.79
S00013,2025-01-06,P05,Storage,Online,Marmara,6,1074,673.86,400.14
S00014,2025-01-06,P03,Displays,Online,Marmara,6,678.3,444.32,233.98
S00015,2025-01-06,P05,Storage,Online,Aegean,4,716,419.33,296.67
S00016,2025-01-07,P02,Audio,Marketplace,Aegean,4,428.4,212.09,216.31
S00017,2025-01-07,P03,Displays,Retail,Aegean,3,672.3,327.5,344.8
S00018,2025-01-07,P03,Displays,Retail,Aegean,1,179,121.6,57.4
S00019,2025-01-08,P05,Storage,Marketplace,Marmara,5,595,359.95,235.05
S00020,2025-01-08,P04,Office,Retail,Marmara,3,672.3,428.32,243.98
S00021,2025-01-08,P02,Audio,Online,Aegean,3,94.5,47.03,47.47
S00022,2025-01-09,P03,Displays,Marketplace,Central Anatolia,2,498,332.96,165.04
S00023,2025-01-09,P02,Audio,Online,Central Anatolia,4,946.2,504.71,441.49
S00024,2025-01-09,P05,Storage,Retail,Central Anatolia,5,232.75,114.91,117.84
S00025,2025-01-10,P05,Storage,Online,Aegean,1,161.1,78.85,82.25
S00026,2025-01-11,P04,Office,Retail,Marmara,2,135.0,72.49,62.51
S00027,2025-01-11,P03,Displays,Marketplace,Marmara,1,44.1,26.71,17.39
S00028,2025-01-11,P03,Displays,Marketplace,Central Anatolia,4,476,284.02,191.98
S00029,2025-01-11,P01,Accessories,Marketplace,Marmara,1,75,44.48,30.52
S00030,2025-01-11,P02,Audio,Marketplace,Aegean,3,357,185.88,171.12
S00031,2025-01-12,P02,Audio,Retail,Aegean,6,642.6,359.08,283.52
S00032,2025-01-13,P05,Storage,Online,Central Anatolia,6,264.6,157.68,106.92
S00033,2025-01-13,P01,Accessories,Online,Central Anatolia,2,358,234.45,123.55
