YearMonth,Revenue,Profit,PreviousMonthRevenue,PriorYearRevenue,RevenueYTD,Rolling12MRevenue,MoMPct,YoYPct
2025-01,41917.4,17085.1,,,41917.4,41917.4,,
2025-02,39549.45,16641.73,41917.4,,81466.85,81466.85,-0.056491,
2025-03,36798.2,15442.89,39549.45,,118265.05,118265.05,-0.069565,
2025-04,37229.3,15449.67,36798.2,,155494.35,155494.35,0.011715,
2025-05,42258.5,17670.04,37229.3,,197752.85,197752.85,0.135087,
2025-06,32664.7,14246.1,42258.5,,230417.55,230417.55,-0.227027,
2025-07,41872.4,17386.28,32664.7,,272289.95,272289.95,0.281885,
2025-08,33588.65,14388.87,41872.4,,305878.6,305878.6,-0.197833,
2025-09,40679.05,16666.55,33588.65,,346557.65,346557.65,0.211095,
2025-10,36455.25,15475.58,40679.05,,383012.9,383012.9,-0.103832,
2025-11,31107.8,13119.32,36455.25,,414120.7,414120.7,-0.146685,
2025-12,35916.1,15098.12,31107.8,,450036.8,450036.8,0.154569,
2026-01,39445.95,16321.46,35916.1,41917.4,39445.95,447565.35,0.09828,-0.05896
2026-02,34559.15,14216.1,39445.95,39549.45,74005.1,442575.05,-0.123886,-0.126179
2026-03,41776.65,17257.78,34559.15,36798.2,115781.75,447553.5,0.208845,0.135291
2026-04,35852.9,14708.68,41776.65,37229.3,151634.65,446177.1,-0.141796,-0.036971
2026-05,37458.8,15747.69,35852.9,42258.5,189093.45,441377.4,0.044791,-0.11358
2026-06,26044.35,10633.6,37458.8,32664.7,215137.8,434757.05,-0.30472,-0.202676
2026-07,33265.2,13884.67,26044.35,41872.4,248403.0,426149.85,0.277252,-0.205558
