Vendor Cost ID,Project ID,Cost Type,Date,Amount
V0001,P001,Production,2026-01-21,916.59
V0002,P001,Freelance design,2026-01-21,5921.63
V0003,P002,Freelance design,2026-01-26,2990.88
V0004,P003,Research,2026-01-31,1677.57
V0005,P004,Research,2026-02-05,5150.2
V0006,P004,Hosting,2026-02-05,2657.93
V0007,P005,Hosting,2026-02-21,3130.29
V0008,P006,Production,2026-02-26,1018.75
V0009,P007,Media spend,2026-03-03,1158.98
V0010,P007,Research,2026-03-03,2181.08
V0011,P008,Media spend,2026-03-08,947.09
V0012,P009,Freelance design,2026-03-21,2175.3
V0013,P010,Media spend,2026-03-26,4943.88
V0014,P010,Hosting,2026-03-26,4477.91
V0015,P011,Production,2026-03-31,1438.09
V0016,P012,Research,2026-04-05,5572.21
V0017,P013,Freelance design,2026-04-21,4386.04
V0018,P013,Hosting,2026-04-21,4564.09
V0019,P014,Hosting,2026-04-26,3747.86
V0020,P015,Freelance design,2026-05-01,5084.02
V0021,P016,Production,2026-05-06,5813.22
V0022,P016,Hosting,2026-05-06,5006.79
V0023,P017,Production,2026-05-21,1097.69
V0024,P018,Production,2026-05-26,2019.93
V0025,P019,Production,2026-05-31,5491.17
V0026,P019,Freelance design,2026-05-31,2772.31
V0027,P020,Research,2026-06-05,4439.42
V0028,P021,Research,2026-06-21,3834
V0029,P022,Media spend,2026-06-26,5640.09
V0030,P022,Freelance design,2026-06-26,2398.75
V0031,P023,Media spend,2026-07-01,1434.42
V0032,P024,Production,2026-07-06,2360.3
