OrderID,OrderDate,ProductID,ProductName,Category,Region,Channel,CustomerSegment,Quantity,DiscountPct,Revenue,Cost,GrossProfit,RevenueTarget
ORD-00001,2025-08-01,P02,Office Laptop 15,Computing,Marmara,Marketplace,Corporate,1,0.05,854.05,590,264.05,845.06
ORD-00002,2025-08-01,P04,27-inch Monitor,Displays,Aegean,Retail,Small Business,1,0.05,274.55,185,89.55,271.66
ORD-00003,2025-08-01,P12,Portable SSD 1TB,Storage,Marmara,Online,Small Business,4,0,596,336,260,560.24
ORD-00004,2025-08-01,P10,Ergonomic Chair,Office,Aegean,Retail,Consumer,2,0,998,630,368,938.12
ORD-00005,2025-08-01,P03,4K Monitor,Displays,Central Anatolia,Retail,Consumer,1,0,429,270,159,403.26
ORD-00006,2025-08-01,P10,Ergonomic Chair,Office,Aegean,Online,Corporate,4,0.1,1796.4,1260,536.4,1876.24
ORD-00007,2025-08-01,P07,USB-C Dock,Accessories,Marmara,Retail,Small Business,1,0.2,135.2,92,43.2,158.86
ORD-00008,2025-08-02,P04,27-inch Monitor,Displays,Marmara,Online,Consumer,3,0.1,780.3,555,225.3,814.98
ORD-00009,2025-08-02,P07,USB-C Dock,Accessories,Mediterranean,Marketplace,Corporate,2,0,338,184,154,317.72
ORD-00010,2025-08-02,P07,USB-C Dock,Accessories,Marmara,Online,Consumer,3,0,507,276,231,476.58
ORD-00011,2025-08-02,P07,USB-C Dock,Accessories,Mediterranean,Retail,Small Business,2,0.05,321.1,184,137.1,317.72
ORD-00012,2025-08-02,P11,Standing Desk,Office,Central Anatolia,Online,Small Business,2,0,1398,880,518,1314.12
ORD-00013,2025-08-02,P07,USB-C Dock,Accessories,Marmara,Marketplace,Corporate,1,0.1,152.1,92,60.1,158.86
ORD-00014,2025-08-02,P04,27-inch Monitor,Displays,Aegean,Retail,Consumer,2,0,578,370,208,543.32
ORD-00015,2025-08-02,P01,Laptop Pro 14,Computing,Mediterranean,Retail,Small Business,1,0.1,1169.1,820,349.1,1221.06
ORD-00016,2025-08-03,P04,27-inch Monitor,Displays,Mediterranean,Retail,Corporate,1,0,289,185,104,271.66
