SalesLineID,DateKey,ProductKey,CustomerKey,StoreKey,Quantity,DiscountPct,Revenue,Cost,GrossProfit,ProductName,Category,Subcategory,Brand,UnitCost,CustomerName,Region,Segment,City,StoreName,StoreRegion,Manager,Date,Year,MonthNumber,Month,Quarter,DayName
1,20250726,88,597,18,2,0.0,35.72,23.94,11.78,Product 088,Personal Care,Personal Care Group 1,Brand 14,11.97,Customer 0597,North,Consumer,City 22,Store 18,South,Manager 03,2025-07-26,2025,7,Jul,3,Saturday
2,20250723,75,374,2,2,0.0,492.63,318.06,174.57,Product 075,Household,Household Group 4,Brand 01,159.03,Customer 0374,South,Corporate,City 39,Store 02,South,Manager 03,2025-07-23,2025,7,Jul,3,Wednesday
3,20241220,26,1040,2,2,0.0,427.63,252.54,175.09,Product 026,Snacks,Snacks Group 3,Brand 12,126.27,Customer 1040,West,Consumer,City 33,Store 02,South,Manager 03,2024-12-20,2024,12,Dec,4,Friday
4,20240614,38,1233,4,1,0.0,346.41,161.56,184.85,Product 038,Snacks,Snacks Group 3,Brand 09,161.56,Customer 1233,North,Consumer,City 34,Store 04,West,Manager 05,2024-06-14,2024,6,Jun,2,Friday
5,20250101,74,143,17,1,0.0,239.26,128.15,111.11,Product 074,Snacks,Snacks Group 3,Brand 15,128.15,Customer 0143,East,Consumer,City 48,Store 17,North,Manager 02,2025-01-01,2025,1,Jan,1,Wednesday
6,20250424,72,1426,23,1,0.0,203.03,134.33,68.7,Product 072,Office,Office Group 1,Brand 13,134.33,Customer 1426,South,SMB,City 35,Store 23,East,Manager 08,2025-04-24,2025,4,Apr,2,Thursday
7,20250101,53,20,16,1,0.05,132.37,71.73,60.64,Product 053,Electronics,Electronics Group 2,Brand 09,71.73,Customer 0020,West,SMB,City 21,Store 16,West,Manager 01,2025-01-01,2025,1,Jan,1,Wednesday
8,20250920,34,931,4,2,0.0,547.96,352.54,195.42,Product 034,Personal Care,Personal Care Group 3,Brand 05,176.27,Customer 0931,East,Corporate,City 20,Store 04,West,Manager 05,2025-09-20,2025,9,Sep,3,Saturday
9,20241120,103,3400,24,3,0.0,799.32,520.65,278.67,Product 103,Beverages,Beverages Group 4,Brand 14,173.55,Customer 3400,West,Corporate,City 41,Store 24,West,Manager 01,2024-11-20,2024,11,Nov,4,Wednesday
10,20240824,30,1611,19,1,0.05,60.13,40.0,20.13,Product 030,Office,Office Group 3,Brand 01,40.0,Customer 1611,East,Corporate,City 28,Store 19,East,Manager 04,2024-08-24,2024,8,Aug,3,Saturday
