CustomerKey,CustomerName,Region,Segment,City
1,Customer 0001,North,Consumer,City 02
2,Customer 0002,South,Consumer,City 03
3,Customer 0003,East,Consumer,City 04
4,Customer 0004,West,Consumer,City 05
5,Customer 0005,North,Corporate,City 06
6,Customer 0006,South,SMB,City 07
7,Customer 0007,East,Consumer,City 08
8,Customer 0008,West,Consumer,City 09
9,Customer 0009,North,Consumer,City 10
10,Customer 0010,South,SMB,City 11
11,Customer 0011,East,Corporate,City 12
12,Customer 0012,West,Corporate,City 13
13,Customer 0013,North,Consumer,City 14
14,Customer 0014,South,SMB,City 15
15,Customer 0015,East,SMB,City 16
16,Customer 0016,West,Consumer,City 17
17,Customer 0017,North,Consumer,City 18
18,Customer 0018,South,SMB,City 19
19,Customer 0019,East,SMB,City 20
20,Customer 0020,West,SMB,City 21
21,Customer 0021,North,Consumer,City 22
22,Customer 0022,South,Consumer,City 23
23,Customer 0023,East,Consumer,City 24
24,Customer 0024,West,Consumer,City 25
25,Customer 0025,North,SMB,City 26
26,Customer 0026,South,Consumer,City 27
27,Customer 0027,East,Consumer,City 28
28,Customer 0028,West,Consumer,City 29
29,Customer 0029,North,Consumer,City 30
30,Customer 0030,South,Consumer,City 31
31,Customer 0031,East,Corporate,City 32
32,Customer 0032,West,Consumer,City 33
33,Customer 0033,North,Consumer,City 34
34,Customer 0034,South,Consumer,City 35
35,Customer 0035,East,Consumer,City 36
36,Customer 0036,West,Consumer,City 37
37,Customer 0037,North,SMB,City 38
38,Customer 0038,South,Consumer,City 39
39,Customer 0039,East,SMB,City 40
40,Customer 0040,West,Consumer,City 41
41,Customer 0041,North,Consumer,City 42
42,Customer 0042,South,Consumer,City 43
43,Customer 0043,East,SMB,City 44
44,Customer 0044,West,SMB,City 45
45,Customer 0045,North,Consumer,City 46
46,Customer 0046,South,Corporate,City 47
47,Customer 0047,East,SMB,City 48
48,Customer 0048,West,Consumer,City 01
49,Customer 0049,North,Consumer,City 02
50,Customer 0050,South,SMB,City 03
51,Customer 0051,East,SMB,City 04
52,Customer 0052,West,Consumer,City 05
53,Customer 0053,North,Consumer,City 06
54,Customer 0054,South,Consumer,City 07
55,Customer 0055,East,Consumer,City 08
56,Customer 0056,West,SMB,City 09
57,Customer 0057,North,Consumer,City 10
58,Customer 0058,South,SMB,City 11
59,Customer 0059,East,Consumer,City 12
60,Customer 0060,West,Consumer,City 13
61,Customer 0061,North,Consumer,City 14
62,Customer 0062,South,SMB,City 15
63,Customer 0063,East,SMB,City 16
64,Customer 0064,West,Consumer,City 17
65,Customer 0065,North,Consumer,City 18
66,Customer 0066,South,Corporate,City 19
67,Customer 0067,East,Consumer,City 20
68,Customer 0068,West,Consumer,City 21
69,Customer 0069,North,Consumer,City 22
70,Customer 0070,South,Consumer,City 23
71,Customer 0071,East,Consumer,City 24
72,Customer 0072,West,SMB,City 25
73,Customer 0073,North,Consumer,City 26
74,Customer 0074,South,Consumer,City 27
75,Customer 0075,East,SMB,City 28
76,Customer 0076,West,Consumer,City 29
77,Customer 0077,North,Consumer,City 30
78,Customer 0078,South,Consumer,City 31
79,Customer 0079,East,Consumer,City 32
80,Customer 0080,West,Consumer,City 33
81,Customer 0081,North,Consumer,City 34
82,Customer 0082,South,SMB,City 35
83,Customer 0083,East,Consumer,City 36
84,Customer 0084,West,Consumer,City 37
85,Customer 0085,North,Consumer,City 38
86,Customer 0086,South,Consumer,City 39
87,Customer 0087,East,SMB,City 40
88,Customer 0088,West,Consumer,City 41
89,Customer 0089,North,Consumer,City 42
90,Customer 0090,South,SMB,City 43
91,Customer 0091,East,Consumer,City 44
92,Customer 0092,West,Consumer,City 45
93,Customer 0093,North,SMB,City 46
94,Customer 0094,South,Consumer,City 47
95,Customer 0095,East,SMB,City 48
96,Customer 0096,West,Consumer,City 01
97,Customer 0097,North,Corporate,City 02
98,Customer 0098,South,Consumer,City 03
99,Customer 0099,East,SMB,City 04
100,Customer 0100,West,SMB,City 05
101,Customer 0101,North,Consumer,City 06
102,Customer 0102,South,Corporate,City 07
103,Customer 0103,East,Consumer,City 08
104,Customer 0104,West,Consumer,City 09
105,Customer 0105,North,SMB,City 10
106,Customer 0106,South,Corporate,City 11
107,Customer 0107,East,SMB,City 12
108,Customer 0108,West,Consumer,City 13
109,Customer 0109,North,SMB,City 14
110,Customer 0110,South,Consumer,City 15
111,Customer 0111,East,Corporate,City 16
112,Customer 0112,West,Corporate,City 17
113,Customer 0113,North,Consumer,City 18
114,Customer 0114,South,Corporate,City 19
115,Customer 0115,East,Consumer,City 20
116,Customer 0116,West,Consumer,City 21
117,Customer 0117,North,Consumer,City 22
118,Customer 0118,South,Corporate,City 23
119,Customer 0119,East,Consumer,City 24
120,Customer 0120,West,Consumer,City 25
121,Customer 0121,North,SMB,City 26
122,Customer 0122,South,Consumer,City 27
123,Customer 0123,East,Consumer,City 28
124,Customer 0124,West,SMB,City 29
125,Customer 0125,North,Consumer,City 30
126,Customer 0126,South,Consumer,City 31
127,Customer 0127,East,Consumer,City 32
128,Customer 0128,West,Consumer,City 33
129,Customer 0129,North,SMB,City 34
130,Customer 0130,South,SMB,City 35
131,Customer 0131,East,Consumer,City 36
132,Customer 0132,West,Corporate,City 37
133,Customer 0133,North,Consumer,City 38
134,Customer 0134,South,Consumer,City 39
135,Customer 0135,East,SMB,City 40
136,Customer 0136,West,Consumer,City 41
137,Customer 0137,North,Corporate,City 42
138,Customer 0138,South,Corporate,City 43
139,Customer 0139,East,SMB,City 44
140,Customer 0140,West,Consumer,City 45
141,Customer 0141,North,Consumer,City 46
142,Customer 0142,South,Consumer,City 47
143,Customer 0143,East,Consumer,City 48
144,Customer 0144,West,Corporate,City 01
145,Customer 0145,North,Corporate,City 02
146,Customer 0146,South,SMB,City 03
147,Customer 0147,East,Consumer,City 04
148,Customer 0148,West,Consumer,City 05
149,Customer 0149,North,SMB,City 06
150,Customer 0150,South,SMB,City 07
151,Customer 0151,East,SMB,City 08
152,Customer 0152,West,Consumer,City 09
153,Customer 0153,North,Consumer,City 10
154,Customer 0154,South,SMB,City 11
155,Customer 0155,East,Consumer,City 12
156,Customer 0156,West,Corporate,City 13
157,Customer 0157,North,Corporate,City 14
158,Customer 0158,South,Consumer,City 15
159,Customer 0159,East,Consumer,City 16
160,Customer 0160,West,SMB,City 17
161,Customer 0161,North,Consumer,City 18
162,Customer 0162,South,SMB,City 19
163,Customer 0163,East,Corporate,City 20
164,Customer 0164,West,Consumer,City 21
165,Customer 0165,North,Corporate,City 22
166,Customer 0166,South,Consumer,City 23
167,Customer 0167,East,Consumer,City 24
168,Customer 0168,West,Consumer,City 25
169,Customer 0169,North,SMB,City 26
170,Customer 0170,South,SMB,City 27
171,Customer 0171,East,Corporate,City 28
172,Customer 0172,West,Consumer,City 29
173,Customer 0173,North,Corporate,City 30
174,Customer 0174,South,Consumer,City 31
175,Customer 0175,East,SMB,City 32
176,Customer 0176,West,Consumer,City 33
177,Customer 0177,North,Consumer,City 34
178,Customer 0178,South,Consumer,City 35
179,Customer 0179,East,Consumer,City 36
180,Customer 0180,West,Consumer,City 37
181,Customer 0181,North,SMB,City 38
182,Customer 0182,South,SMB,City 39
183,Customer 0183,East,Consumer,City 40
184,Customer 0184,West,Consumer,City 41
185,Customer 0185,North,Consumer,City 42
186,Customer 0186,South,Consumer,City 43
187,Customer 0187,East,SMB,City 44
188,Customer 0188,West,Consumer,City 45
189,Customer 0189,North,Consumer,City 46
190,Customer 0190,South,Consumer,City 47
191,Customer 0191,East,SMB,City 48
192,Customer 0192,West,Corporate,City 01
193,Customer 0193,North,Corporate,City 02
194,Customer 0194,South,Consumer,City 03
195,Customer 0195,East,SMB,City 04
196,Customer 0196,West,Consumer,City 05
197,Customer 0197,North,Consumer,City 06
198,Customer 0198,South,Consumer,City 07
199,Customer 0199,East,Consumer,City 08
200,Customer 0200,West,Corporate,City 09
201,Customer 0201,North,Consumer,City 10
202,Customer 0202,South,Consumer,City 11
203,Customer 0203,East,Consumer,City 12
204,Customer 0204,West,Corporate,City 13
205,Customer 0205,North,SMB,City 14
206,Customer 0206,South,SMB,City 15
207,Customer 0207,East,SMB,City 16
208,Customer 0208,West,Consumer,City 17
209,Customer 0209,North,Consumer,City 18
210,Customer 0210,South,Consumer,City 19
211,Customer 0211,East,Consumer,City 20
212,Customer 0212,West,Consumer,City 21
213,Customer 0213,North,SMB,City 22
214,Customer 0214,South,Consumer,City 23
215,Customer 0215,East,SMB,City 24
216,Customer 0216,West,SMB,City 25
217,Customer 0217,North,SMB,City 26
218,Customer 0218,South,Corporate,City 27
219,Customer 0219,East,Consumer,City 28
220,Customer 0220,West,Consumer,City 29
221,Customer 0221,North,Consumer,City 30
222,Customer 0222,South,Consumer,City 31
223,Customer 0223,East,Consumer,City 32
224,Customer 0224,West,SMB,City 33
225,Customer 0225,North,Consumer,City 34
226,Customer 0226,South,Consumer,City 35
227,Customer 0227,East,Consumer,City 36
228,Customer 0228,West,Consumer,City 37
229,Customer 0229,North,Consumer,City 38
230,Customer 0230,South,Consumer,City 39
231,Customer 0231,East,SMB,City 40
232,Customer 0232,West,SMB,City 41
233,Customer 0233,North,SMB,City 42
234,Customer 0234,South,Corporate,City 43
235,Customer 0235,East,SMB,City 44
236,Customer 0236,West,Consumer,City 45
237,Customer 0237,North,SMB,City 46
238,Customer 0238,South,Consumer,City 47
239,Customer 0239,East,Consumer,City 48
240,Customer 0240,West,SMB,City 01
241,Customer 0241,North,Corporate,City 02
242,Customer 0242,South,Consumer,City 03
243,Customer 0243,East,Corporate,City 04
244,Customer 0244,West,Consumer,City 05
245,Customer 0245,North,Consumer,City 06
246,Customer 0246,South,SMB,City 07
247,Customer 0247,East,Corporate,City 08
248,Customer 0248,West,Consumer,City 09
249,Customer 0249,North,Consumer,City 10
250,Customer 0250,South,Consumer,City 11
251,Customer 0251,East,Consumer,City 12
252,Customer 0252,West,SMB,City 13
253,Customer 0253,North,SMB,City 14
254,Customer 0254,South,SMB,City 15
255,Customer 0255,East,SMB,City 16
256,Customer 0256,West,Consumer,City 17
257,Customer 0257,North,Consumer,City 18
258,Customer 0258,South,Consumer,City 19
259,Customer 0259,East,SMB,City 20
260,Customer 0260,West,Corporate,City 21
261,Customer 0261,North,SMB,City 22
262,Customer 0262,South,Corporate,City 23
263,Customer 0263,East,Corporate,City 24
264,Customer 0264,West,Consumer,City 25
265,Customer 0265,North,SMB,City 26
266,Customer 0266,South,Corporate,City 27
267,Customer 0267,East,Consumer,City 28
268,Customer 0268,West,Corporate,City 29
269,Customer 0269,North,Consumer,City 30
270,Customer 0270,South,Consumer,City 31
271,Customer 0271,East,Consumer,City 32
272,Customer 0272,West,Consumer,City 33
273,Customer 0273,North,Consumer,City 34
274,Customer 0274,South,SMB,City 35
275,Customer 0275,East,Corporate,City 36
276,Customer 0276,West,Consumer,City 37
277,Customer 0277,North,Consumer,City 38
278,Customer 0278,South,Corporate,City 39
279,Customer 0279,East,Corporate,City 40
280,Customer 0280,West,SMB,City 41
281,Customer 0281,North,SMB,City 42
282,Customer 0282,South,SMB,City 43
283,Customer 0283,East,Corporate,City 44
284,Customer 0284,West,SMB,City 45
285,Customer 0285,North,Corporate,City 46
286,Customer 0286,South,SMB,City 47
287,Customer 0287,East,Consumer,City 48
288,Customer 0288,West,Consumer,City 01
289,Customer 0289,North,Corporate,City 02
290,Customer 0290,South,SMB,City 03
291,Customer 0291,East,SMB,City 04
292,Customer 0292,West,Consumer,City 05
293,Customer 0293,North,Consumer,City 06
294,Customer 0294,South,Consumer,City 07
295,Customer 0295,East,Consumer,City 08
296,Customer 0296,West,Consumer,City 09
297,Customer 0297,North,Consumer,City 10
298,Customer 0298,South,Consumer,City 11
299,Customer 0299,East,Consumer,City 12
300,Customer 0300,West,Consumer,City 13
301,Customer 0301,North,Corporate,City 14
302,Customer 0302,South,Consumer,City 15
303,Customer 0303,East,Consumer,City 16
304,Customer 0304,West,Consumer,City 17
305,Customer 0305,North,Corporate,City 18
306,Customer 0306,South,Consumer,City 19
307,Customer 0307,East,Corporate,City 20
308,Customer 0308,West,Corporate,City 21
309,Customer 0309,North,Corporate,City 22
310,Customer 0310,South,Consumer,City 23
311,Customer 0311,East,SMB,City 24
312,Customer 0312,West,Consumer,City 25
313,Customer 0313,North,SMB,City 26
314,Customer 0314,South,Corporate,City 27
315,Customer 0315,East,SMB,City 28
316,Customer 0316,West,Consumer,City 29
317,Customer 0317,North,Corporate,City 30
318,Customer 0318,South,Consumer,City 31
319,Customer 0319,East,Consumer,City 32
320,Customer 0320,West,Consumer,City 33
321,Customer 0321,North,Consumer,City 34
322,Customer 0322,South,SMB,City 35
323,Customer 0323,East,Consumer,City 36
324,Customer 0324,West,Consumer,City 37
325,Customer 0325,North,Consumer,City 38
326,Customer 0326,South,Consumer,City 39
327,Customer 0327,East,Consumer,City 40
328,Customer 0328,West,SMB,City 41
329,Customer 0329,North,Consumer,City 42
330,Customer 0330,South,Consumer,City 43
331,Customer 0331,East,Corporate,City 44
332,Customer 0332,West,SMB,City 45
333,Customer 0333,North,SMB,City 46
334,Customer 0334,South,SMB,City 47
335,Customer 0335,East,Consumer,City 48
336,Customer 0336,West,Corporate,City 01
337,Customer 0337,North,Consumer,City 02
338,Customer 0338,South,SMB,City 03
339,Customer 0339,East,Consumer,City 04
340,Customer 0340,West,Consumer,City 05
341,Customer 0341,North,Consumer,City 06
342,Customer 0342,South,SMB,City 07
343,Customer 0343,East,Consumer,City 08
344,Customer 0344,West,Consumer,City 09
345,Customer 0345,North,SMB,City 10
346,Customer 0346,South,Consumer,City 11
347,Customer 0347,East,SMB,City 12
348,Customer 0348,West,SMB,City 13
349,Customer 0349,North,SMB,City 14
350,Customer 0350,South,Consumer,City 15
351,Customer 0351,East,Consumer,City 16
352,Customer 0352,West,SMB,City 17
353,Customer 0353,North,SMB,City 18
354,Customer 0354,South,Corporate,City 19
355,Customer 0355,East,Consumer,City 20
356,Customer 0356,West,Consumer,City 21
357,Customer 0357,North,Corporate,City 22
358,Customer 0358,South,Consumer,City 23
359,Customer 0359,East,SMB,City 24
360,Customer 0360,West,SMB,City 25
361,Customer 0361,North,SMB,City 26
362,Customer 0362,South,SMB,City 27
363,Customer 0363,East,SMB,City 28
364,Customer 0364,West,Consumer,City 29
365,Customer 0365,North,Consumer,City 30
366,Customer 0366,South,Consumer,City 31
367,Customer 0367,East,Corporate,City 32
368,Customer 0368,West,Consumer,City 33
369,Customer 0369,North,Consumer,City 34
370,Customer 0370,South,SMB,City 35
371,Customer 0371,East,Corporate,City 36
372,Customer 0372,West,Consumer,City 37
373,Customer 0373,North,Corporate,City 38
374,Customer 0374,South,Corporate,City 39
375,Customer 0375,East,Consumer,City 40
376,Customer 0376,West,Corporate,City 41
377,Customer 0377,North,SMB,City 42
378,Customer 0378,South,Consumer,City 43
379,Customer 0379,East,Consumer,City 44
380,Customer 0380,West,Consumer,City 45
381,Customer 0381,North,SMB,City 46
382,Customer 0382,South,Consumer,City 47
383,Customer 0383,East,Consumer,City 48
384,Customer 0384,West,SMB,City 01
385,Customer 0385,North,Consumer,City 02
386,Customer 0386,South,SMB,City 03
387,Customer 0387,East,Consumer,City 04
388,Customer 0388,West,SMB,City 05
389,Customer 0389,North,SMB,City 06
390,Customer 0390,South,Consumer,City 07
391,Customer 0391,East,Consumer,City 08
392,Customer 0392,West,SMB,City 09
393,Customer 0393,North,Consumer,City 10
394,Customer 0394,South,SMB,City 11
395,Customer 0395,East,Consumer,City 12
396,Customer 0396,West,SMB,City 13
397,Customer 0397,North,Consumer,City 14
398,Customer 0398,South,Consumer,City 15
399,Customer 0399,East,Consumer,City 16
400,Customer 0400,West,Corporate,City 17
401,Customer 0401,North,SMB,City 18
402,Customer 0402,South,SMB,City 19
403,Customer 0403,East,Consumer,City 20
404,Customer 0404,West,Consumer,City 21
405,Customer 0405,North,Consumer,City 22
406,Customer 0406,South,Consumer,City 23
407,Customer 0407,East,SMB,City 24
408,Customer 0408,West,Consumer,City 25
409,Customer 0409,North,Consumer,City 26
410,Customer 0410,South,SMB,City 27
411,Customer 0411,East,Corporate,City 28
412,Customer 0412,West,Consumer,City 29
413,Customer 0413,North,SMB,City 30
414,Customer 0414,South,SMB,City 31
415,Customer 0415,East,Consumer,City 32
416,Customer 0416,West,Consumer,City 33
417,Customer 0417,North,Consumer,City 34
418,Customer 0418,South,Consumer,City 35
419,Customer 0419,East,Consumer,City 36
420,Customer 0420,West,Corporate,City 37
421,Customer 0421,North,Consumer,City 38
422,Customer 0422,South,Consumer,City 39
423,Customer 0423,East,Consumer,City 40
424,Customer 0424,West,Consumer,City 41
425,Customer 0425,North,SMB,City 42
426,Customer 0426,South,Consumer,City 43
427,Customer 0427,East,Consumer,City 44
428,Customer 0428,West,Consumer,City 45
429,Customer 0429,North,Consumer,City 46
430,Customer 0430,South,Consumer,City 47
