SalesLineID,DateKey,ProductKey,CustomerKey,StoreKey,Quantity,DiscountPct,Revenue,Cost,GrossProfit
1,20250726,88,597,18,2,0.0,35.72,23.94,11.78
2,20250723,75,374,2,2,0.0,492.63,318.06,174.57
3,20241220,26,1040,2,2,0.0,427.63,252.54,175.09
4,20240614,38,1233,4,1,0.0,346.41,161.56,184.85
5,20250101,74,143,17,1,0.0,239.26,128.15,111.11
6,20250424,72,1426,23,1,0.0,203.03,134.33,68.7
7,20250101,53,20,16,1,0.05,132.37,71.73,60.64
8,20250920,34,931,4,2,0.0,547.96,352.54,195.42
9,20241120,103,3400,24,3,0.0,799.32,520.65,278.67
10,20240824,30,1611,19,1,0.05,60.13,40.0,20.13
11,20240508,45,324,2,1,0.15,196.79,144.18,52.61
12,20250113,64,3951,24,1,0.05,198.52,139.12,59.4
13,20240418,85,3148,24,1,0.05,270.5,157.46,113.04
14,20251102,47,1736,2,3,0.0,70.19,35.22,34.97
15,20251105,3,1211,5,2,0.0,81.32,53.1,28.22
16,20250125,2,3105,16,1,0.05,222.43,135.26,87.17
17,20251117,57,2729,24,3,0.1,369.1,234.12,134.98
18,20241201,36,287,11,2,0.05,150.4,100.88,49.52
19,20241122,46,901,5,1,0.0,360.07,165.56,194.51
20,20250827,91,2847,15,1,0.2,57.95,41.28,16.67
21,20240722,89,1345,17,1,0.15,88.13,69.24,18.89
22,20250609,73,541,11,3,0.1,45.27,34.14,11.13
23,20250716,37,242,15,1,0.0,151.67,84.39,67.28
24,20241227,6,1666,1,2,0.1,196.68,130.36,66.32
25,20250215,64,3375,5,2,0.0,513.85,278.24,235.61
26,20240415,74,3322,14,1,0.1,178.88,128.15,50.73
27,20250103,100,2148,7,1,0.0,315.9,153.71,162.19
28,20250211,54,3876,3,2,0.0,661.53,322.38,339.15
29,20250220,12,521,23,1,0.0,175.85,112.31,63.54
30,20251213,22,349,14,2,0.05,17.08,8.38,8.7
31,20250616,14,3567,16,2,0.0,53.7,25.42,28.28
32,20240119,44,3971,15,2,0.1,82.75,59.24,23.51
33,20240619,13,968,10,3,0.0,810.82,407.61,403.21
34,20250926,10,689,12,1,0.0,257.58,142.99,114.59
35,20250118,16,2698,2,2,0.1,418.14,274.28,143.86
36,20250207,82,1718,19,1,0.05,71.72,42.92,28.8
37,20240528,51,1696,14,2,0.05,451.17,277.32,173.85
38,20251204,102,2952,10,1,0.0,327.52,150.84,176.68
39,20251206,11,214,12,1,0.0,28.27,16.52,11.75
40,20250910,103,1064,4,1,0.05,310.61,173.55,137.06
41,20250405,57,2404,4,2,0.15,210.41,156.08,54.33
42,20250314,61,1716,16,1,0.1,64.4,35.55,28.85
43,20240119,31,1954,21,2,0.0,248.44,164.52,83.92
44,20240424,85,74,22,1,0.1,213.34,157.46,55.88
45,20240414,21,3090,21,2,0.0,129.3,63.6,65.7
46,20250910,46,1593,12,2,0.05,527.84,331.12,196.72
47,20251107,108,1613,14,1,0.0,110.65,72.31,38.34
48,20250820,103,3252,9,1,0.0,305.64,173.55,132.09
49,20241028,18,2654,6,2,0.05,718.72,338.44,380.28
50,20250730,27,581,8,4,0.0,601.55,333.88,267.67
51,20240820,103,868,4,1,0.0,370.25,173.55,196.7
52,20250513,75,1789,14,1,0.0,316.13,159.03,157.1
53,20251206,11,355,21,3,0.0,96.13,49.56,46.57
54,20250102,97,1967,22,2,0.0,142.81,94.5,48.31
55,20240514,43,1379,22,1,0.0,183.94,107.49,76.45
56,20251027,81,3265,16,2,0.0,44.88,23.38,21.5
57,20240313,76,2196,4,1,0.2,138.04,106.44,31.6
58,20240904,90,2109,19,1,0.0,33.49,21.33,12.16
59,20240620,114,3878,14,2,0.0,439.22,203.24,235.98
60,20250805,93,1997,15,1,0.0,326.63,176.84,149.79
61,20250802,52,3613,15,1,0.05,227.76,135.69,92.07
62,20250913,13,554,23,1,0.1,199.75,135.87,63.88
63,20240105,104,3390,15,4,0.15,695.04,489.92,205.12
64,20240926,57,3445,16,3,0.0,483.23,234.12,249.11
65,20250726,59,3632,6,3,0.1,483.89,257.55,226.34
66,20250205,115,3796,24,5,0.0,1506.06,741.2,764.86
67,20250304,5,2531,7,1,0.15,110.87,82.65,28.22
68,20250413,43,1152,5,3,0.0,648.53,322.47,326.06
69,20251222,44,258,24,2,0.05,102.46,59.24,43.22
70,20250720,35,2717,22,1,0.05,297.82,154.37,143.45
71,20241006,36,835,7,3,0.15,252.43,151.32,101.11
72,20240510,113,1531,22,2,0.15,95.37,57.34,38.03
73,20250630,85,1895,24,2,0.0,601.87,314.92,286.95
74,20251101,64,2739,14,3,0.0,630.34,417.36,212.98
75,20251030,113,1842,11,1,0.0,64.41,28.67,35.74
76,20240908,15,931,22,2,0.0,742.9,349.2,393.7
77,20250613,19,2660,9,1,0.15,40.54,30.62,9.92
78,20251006,45,3843,12,2,0.0,628.0,288.36,339.64
79,20250505,66,405,23,2,0.0,72.02,41.1,30.92
80,20240518,87,2213,10,2,0.0,289.87,130.42,159.45
81,20250118,53,27,16,1,0.0,124.62,71.73,52.89
82,20250526,84,1567,13,1,0.0,293.4,154.18,139.22
83,20250227,66,1663,2,1,0.0,40.9,20.55,20.35
84,20240316,18,2872,20,3,0.1,964.56,507.66,456.9
85,20250523,120,2750,24,1,0.0,17.8,8.98,8.82
86,20240930,62,1264,18,4,0.1,827.34,631.48,195.86
87,20251230,16,3171,4,1,0.0,221.93,137.14,84.79
