product_id,review_count,average_rating,negative_reviews,verified_rate,helpful_votes,negative_rate,recent_negative_rate,prior_negative_rate,product_name,category,unit_price,launch_date,negative_rate_change,priority_score,action_tier
P017,119,2.9327731092436973,55,0.9411764705882353,307,0.46218487394957986,0.575,0.4050632911392405,Smart Scale,Fitness,68.85,2025-03-28,0.16993670886075946,50.9,Urgent
P002,113,2.9469026548672566,58,0.9646017699115044,279,0.5132743362831859,0.5769230769230769,0.4942528735632184,Bluetooth Speaker,Audio,24.29,2024-12-05,0.08267020335985847,50.2,Urgent
P009,115,3.234782608695652,43,0.8869565217391304,319,0.3739130434782609,0.5714285714285714,0.32978723404255317,Coffee Maker,Home,120.51,2024-02-02,0.24164133738601823,48.2,Urgent
P022,129,3.1627906976744184,37,0.9224806201550387,327,0.2868217054263566,0.21875,0.30927835051546393,Wireless Mouse,Accessories,145.47,2024-02-19,-0.09052835051546393,40.1,Urgent
P028,107,3.2710280373831777,31,0.9252336448598131,294,0.2897196261682243,0.2903225806451613,0.2894736842105263,Knife Set,Kitchen,171.43,2024-08-17,0.0008488964346349825,37.3,Investigate
P005,147,3.82312925170068,28,0.9047619047619048,348,0.19047619047619047,0.23076923076923078,0.17592592592592593,Portable Radio,Audio,136.48,2025-04-07,0.05484330484330485,29.5,Investigate
P026,125,3.728,24,0.936,337,0.192,0.29411764705882354,0.15384615384615385,Food Scale,Kitchen,122.08,2024-07-05,0.14027149321266968,28.8,Investigate
P027,139,3.79136690647482,23,0.8776978417266187,357,0.16546762589928057,0.2608695652173913,0.14655172413793102,Toaster,Kitchen,26.68,2024-05-04,0.11431784107946028,28.8,Investigate
P030,141,4.035460992907802,18,0.9290780141843972,348,0.1276595744680851,0.19047619047619047,0.10101010101010101,Water Bottle,Kitchen,84.65,2024-10-28,0.08946608946608946,26.8,Investigate
P025,130,3.646153846153846,24,0.9230769230769231,343,0.18461538461538463,0.21428571428571427,0.17647058823529413,Blender,Kitchen,142.26,2025-03-23,0.037815126050420145,26.6,Investigate
P016,128,3.7890625,25,0.9140625,341,0.1953125,0.10714285714285714,0.22,Massage Gun,Fitness,33.39,2024-11-21,-0.11285714285714286,25.9,Investigate
P003,122,3.5491803278688523,25,0.8934426229508197,320,0.20491803278688525,0.14814814814814814,0.22105263157894736,Studio Headphones,Audio,68.68,2025-01-27,-0.07290448343079922,25.5,Investigate
P007,128,3.953125,21,0.9609375,312,0.1640625,0.1891891891891892,0.15384615384615385,Air Purifier,Home,62.11,2025-03-07,0.035343035343035345,25.3,Investigate
P001,109,3.6513761467889907,20,0.9174311926605505,287,0.1834862385321101,0.25,0.16470588235294117,Wireless Earbuds,Audio,183.73,2025-02-07,0.08529411764705883,24.9,Monitor
P019,131,3.801526717557252,21,0.9007633587786259,310,0.16030534351145037,0.058823529411764705,0.1958762886597938,Laptop Stand,Accessories,45.01,2025-04-18,-0.13705275924802912,24.7,Monitor
P015,125,3.912,22,0.952,296,0.176,0.16129032258064516,0.18085106382978725,Resistance Bands,Fitness,110.15,2024-10-21,-0.01956074124914209,24.6,Monitor
P024,113,4.106194690265487,15,0.9557522123893806,303,0.13274336283185842,0.22580645161290322,0.0975609756097561,Phone Case,Accessories,53.12,2024-07-27,0.12824547600314712,24.2,Monitor
P006,127,3.8897637795275593,20,0.9212598425196851,307,0.15748031496062992,0.16216216216216217,0.15555555555555556,Gaming Headset,Audio,179.28,2024-07-18,0.006606606606606613,24.2,Monitor
P021,132,3.8863636363636362,18,0.8939393939393939,315,0.13636363636363635,0.10714285714285714,0.14423076923076922,Travel Backpack,Accessories,122.21,2025-02-26,-0.03708791208791208,23.7,Monitor
P029,131,3.8625954198473282,17,0.916030534351145,309,0.1297709923664122,0.13333333333333333,0.12871287128712872,Lunch Box,Kitchen,129.95,2025-01-05,0.004620462046204615,23.4,Monitor
P020,115,3.739130434782609,20,0.8956521739130435,313,0.17391304347826086,0.14705882352941177,0.18518518518518517,Phone Charger,Accessories,101.93,2024-10-09,-0.038126361655773405,23.2,Monitor
P018,123,3.821138211382114,16,0.9349593495934959,322,0.13008130081300814,0.15151515151515152,0.12222222222222222,Foam Roller,Fitness,73.45,2024-02-03,0.0292929292929293,23.0,Monitor
P008,120,3.816666666666667,17,0.9,309,0.14166666666666666,0.09090909090909091,0.15306122448979592,Robot Vacuum,Home,51.58,2024-08-05,-0.06215213358070501,22.4,Monitor
P014,111,3.90990990990991,17,0.9459459459459459,316,0.15315315315315314,0.08,0.1744186046511628,Yoga Mat,Fitness,116.39,2024-12-01,-0.0944186046511628,21.7,Monitor
P012,114,4.052631578947368,10,0.9210526315789473,295,0.08771929824561403,0.14285714285714285,0.06976744186046512,Space Heater,Home,125.35,2024-05-26,0.07308970099667773,21.0,Monitor
P013,106,3.9622641509433962,14,0.8962264150943396,292,0.1320754716981132,0.15,0.12790697674418605,Fitness Tracker,Fitness,91.17,2025-03-30,0.022093023255813943,20.6,Monitor
P004,105,3.8666666666666667,11,0.9238095238095239,276,0.10476190476190476,0.11764705882352941,0.10227272727272728,Soundbar,Audio,73.59,2024-06-18,0.015374331550802131,19.1,Monitor
P023,96,3.7291666666666665,12,0.8958333333333334,285,0.125,0.13636363636363635,0.12162162162162163,USB Hub,Accessories,127.74,2024-01-23,0.014742014742014725,18.8,Monitor
P011,102,4.078431372549019,9,0.8823529411764706,255,0.08823529411764706,0.10344827586206896,0.0821917808219178,Electric Kettle,Home,31.69,2024-09-30,0.02125649504015116,18.1,Monitor
P010,97,3.9381443298969074,11,0.9278350515463918,261,0.1134020618556701,0.041666666666666664,0.136986301369863,Desk Lamp,Home,137.75,2024-01-01,-0.09531963470319635,18.0,Monitor
