LeadID,CreatedDate,LeadSource,Campaign,LandingPage,Device,Country,FirstResponseHours,FunnelStage,Qualified,Opportunity,Converted,Revenue,Priority
L-00304,2026-05-30,Partner,C05-PAR,Homepage,Mobile,United Kingdom,46.3,Opportunity,1,1,0,0.0,Critical
L-00475,2026-05-30,LinkedIn Ads,C05-LIN,Consultation,Mobile,Netherlands,34.6,Opportunity,1,1,0,0.0,Critical
L-01037,2026-01-05,Paid Search,C01-PAI,Homepage,Mobile,Germany,33.9,Opportunity,1,1,0,0.0,Critical
L-00039,2026-02-08,Referral,C02-REF,Consultation,Desktop,Australia,30.2,Opportunity,1,1,0,0.0,Critical
L-00379,2026-03-21,Organic Search,C03-ORG,Pricing,Tablet,Australia,29.2,Opportunity,1,1,0,0.0,Critical
L-01159,2026-06-20,Referral,C06-REF,Consultation,Desktop,United Kingdom,23.8,Opportunity,1,1,0,0.0,High
L-00929,2026-04-15,Paid Search,C04-PAI,Case Studies,Desktop,United States,23.4,Opportunity,1,1,0,0.0,High
L-01668,2026-05-11,Paid Search,C05-PAI,Homepage,Desktop,United Kingdom,23.0,Opportunity,1,1,0,0.0,High
L-01066,2026-06-11,Organic Search,C06-ORG,Pricing,Desktop,Germany,22.4,Opportunity,1,1,0,0.0,High
L-00312,2026-05-23,Paid Search,C05-PAI,Pricing,Desktop,Canada,20.8,Opportunity,1,1,0,0.0,High
L-00245,2026-01-21,Referral,C01-REF,Pricing,Desktop,Netherlands,20.6,Opportunity,1,1,0,0.0,High
L-01323,2026-06-28,Paid Search,C06-PAI,Pricing,Desktop,Netherlands,18.7,Opportunity,1,1,0,0.0,High
L-00366,2026-05-24,LinkedIn Ads,C05-LIN,Consultation,Mobile,Germany,17.2,Opportunity,1,1,0,0.0,High
L-00361,2026-01-31,Paid Search,C01-PAI,Homepage,Desktop,United Kingdom,15.8,Opportunity,1,1,0,0.0,High
L-00945,2026-04-19,Paid Search,C04-PAI,Pricing,Desktop,United States,15.6,Opportunity,1,1,0,0.0,High
L-01752,2026-06-13,LinkedIn Ads,C06-LIN,Pricing,Desktop,Germany,15.4,Opportunity,1,1,0,0.0,High
L-01267,2026-05-14,Paid Search,C05-PAI,Pricing,Mobile,Netherlands,14.7,Opportunity,1,1,0,0.0,High
L-00068,2026-02-16,Paid Search,C02-PAI,Case Studies,Desktop,Netherlands,14.4,Opportunity,1,1,0,0.0,High
L-01031,2026-06-02,Direct,C06-DIR,Homepage,Desktop,United States,14.4,Opportunity,1,1,0,0.0,High
L-01489,2026-02-25,Organic Search,C02-ORG,Case Studies,Tablet,Australia,14.1,Opportunity,1,1,0,0.0,High
L-01176,2026-03-17,Paid Search,C03-PAI,Webinar,Desktop,United States,13.9,Opportunity,1,1,0,0.0,High
L-01334,2026-05-11,Organic Search,C05-ORG,Homepage,Desktop,United Kingdom,13.9,Opportunity,1,1,0,0.0,High
L-00242,2026-06-30,Email,C06-EMA,Consultation,Mobile,Australia,13.6,Opportunity,1,1,0,0.0,High
