source_customer_id,true_entity_id
ECO-00004,E0011
ECO-00175,E0291
SUP-00106,E0158
CRM-00183,E0303
ECO-00079,E0130
ECO-00066,E0105
ECO-00058,E0093
SUP-00165,E0246
CRM-00052,E0090
ECO-00034,E0055
SUP-00055,E0075
CRM-00174,E0283
SUP-00187,E0283
ECO-00142,E0226
SUP-00192,E0290
ECO-00060,E0095
ECO-00101,E0158
SUP-00174,E0269
ECO-00200,E0331
SUP-00119,E0180
CRM-00156,E0258
ECO-00126,E0194
CRM-00113,E0186
SUP-00286,E0441
CRM-00037,E0064
CRM-00229,E0375
CRM-00128,E0218
ECO-00081,E0132
CRM-00082,E0138
CRM-00199,E0329
SUP-00072,E0101
CRM-00011,E0021
SUP-00093,E0135
SUP-00248,E0374
CRM-00026,E0048
SUP-00122,E0187
ECO-00025,E0042
SUP-00228,E0348
ECO-00243,E0396
ECO-00251,E0413
SUP-00191,E0288
CRM-00148,E0246
CRM-00269,E0436
SUP-00052,E0070
ECO-00021,E0038
SUP-00124,E0190
ECO-00198,E0326
SUP-00029,E0036
ECO-00191,E0315
ECO-00127,E0196
ECO-00273,E0448
ECO-00073,E0122
SUP-00273,E0418
SUP-00138,E0208
CRM-00068,E0112
SUP-00172,E0267
SUP-00212,E0318
CRM-00219,E0361
CRM-00237,E0383
ECO-00019,E0036
SUP-00169,E0262
ECO-00157,E0253
ECO-00224,E0367
CRM-00041,E0073
CRM-00260,E0420
SUP-00211,E0317
SUP-00177,E0272
CRM-00149,E0247
SUP-00129,E0196
SUP-00108,E0161
ECO-00077,E0128
ECO-00023,E0040
CRM-00132,E0223
ECO-00270,E0444
ECO-00014,E0027
SUP-00121,E0183
ECO-00131,E0202
ECO-00017,E0032
CRM-00095,E0158
ECO-00160,E0256
ECO-00272,E0447
SUP-00067,E0092
SUP-00240,E0363
ECO-00205,E0336
ECO-00121,E0188
CRM-00206,E0337
SUP-00268,E0407
CRM-00157,E0259
ECO-00053,E0084
CRM-00145,E0243
ECO-00214,E0349
CRM-00089,E0147
CRM-00080,E0131
SUP-00154,E0229
SUP-00184,E0279
ECO-00114,E0179
SUP-00281,E0435
CRM-00223,E0369
CRM-00032,E0058
CRM-00134,E0225
ECO-00155,E0249
CRM-00111,E0184
CRM-00007,E0013
ECO-00207,E0339
CRM-00075,E0121
ECO-00038,E0064
SUP-00036,E0047
SUP-00148,E0223
SUP-00223,E0336
SUP-00153,E0228
ECO-00177,E0295
CRM-00054,E0093
CRM-00226,E0372
CRM-00079,E0130
SUP-00200,E0300
CRM-00015,E0027
SUP-00085,E0123
ECO-00117,E0183
SUP-00026,E0033
ECO-00049,E0079
SUP-00048,E0065
ECO-00124,E0191
ECO-00209,E0342
ECO-00084,E0136
CRM-00055,E0094
SUP-00086,E0124
SUP-00094,E0136
ECO-00074,E0123
CRM-00116,E0193
SUP-00277,E0429
CRM-00018,E0034
ECO-00242,E0395
CRM-00013,E0025
ECO-00027,E0046
CRM-00010,E0020
ECO-00105,E0163
SUP-00214,E0322
SUP-00076,E0108
SUP-00136,E0205
CRM-00218,E0360
CRM-00028,E0053
SUP-00140,E0211
ECO-00128,E0198
SUP-00009,E0012
SUP-00103,E0153
CRM-00063,E0103
ECO-00141,E0225
CRM-00167,E0274
CRM-00017,E0031
ECO-00196,E0324
CRM-00072,E0116
SUP-00271,E0416
CRM-00119,E0202
CRM-00077,E0127
SUP-00020,E0024
CRM-00155,E0257
CRM-00268,E0435
SUP-00181,E0276
ECO-00192,E0318
ECO-00249,E0407
ECO-00006,E0014
SUP-00242,E0366
SUP-00185,E0280
ECO-00169,E0276
ECO-00130,E0201
CRM-00166,E0273
SUP-00091,E0132
SUP-00183,E0278
CRM-00280,A010
SUP-00233,E0355
SUP-00077,E0110
SUP-00292,A002
ECO-00252,E0414
SUP-00222,E0334
ECO-00221,E0363
ECO-00113,E0178
ECO-00108,E0169
CRM-00215,E0349
CRM-00171,E0279
CRM-00009,E0019
CRM-00043,E0078
SUP-00220,E0330
SUP-00278,E0431
ECO-00212,E0347
ECO-00054,E0086
SUP-00023,E0028
ECO-00050,E0080
ECO-00097,E0153
CRM-00141,E0238
CRM-00277,A001
ECO-00088,E0140
ECO-00228,E0373
CRM-00112,E0185
SUP-00251,E0380
SUP-00035,E0046
SUP-00257,E0389
ECO-00011,E0023
SUP-00010,E0013
ECO-00092,E0145
CRM-00084,E0142
SUP-00084,E0120
SUP-00276,E0427
SUP-00065,E0090
CRM-00065,E0106
SUP-00016,E0020
ECO-00012,E0025
CRM-00267,E0433
SUP-00190,E0287
SUP-00117,E0178
SUP-00152,E0227
SUP-00134,E0203
CRM-00176,E0286
ECO-00063,E0099
SUP-00008,E0011
SUP-00238,E0360
CRM-00282,A014
CRM-00088,E0146
ECO-00044,E0073
CRM-00186,E0310
SUP-00261,E0395
CRM-00040,E0068
CRM-00143,E0240
SUP-00013,E0016
SUP-00064,E0089
CRM-00272,E0440
CRM-00210,E0341
ECO-00256,E0418
CRM-00178,E0291
SUP-00127,E0194
CRM-00067,E0109
ECO-00064,E0100
SUP-00159,E0234
ECO-00134,E0211
SUP-00232,E0354
SUP-00044,E0057
CRM-00108,E0180
ECO-00179,E0297
