left_id,right_id,score,decision,email_exact,phone_exact,dob_exact,name_similarity,address_similarity
ECO-00004,SUP-00008,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00004,CRM-00006,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8276
SUP-00008,CRM-00006,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8276
SUP-00106,ECO-00101,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00106,CRM-00095,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00101,CRM-00095,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00063,SUP-00070,0.9600,AUTO_MATCH,False,True,False,1.0000,1.0000
ECO-00063,CRM-00059,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
SUP-00197,CRM-00179,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8485
SUP-00197,ECO-00178,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8485
SUP-00070,CRM-00059,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
CRM-00179,ECO-00178,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00166,SUP-00175,0.9800,AUTO_MATCH,True,True,False,0.9167,0.8000
ECO-00002,SUP-00006,0.9600,AUTO_MATCH,False,True,False,1.0000,0.8571
ECO-00175,CRM-00178,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00175,SUP-00297,0.8800,REVIEW,False,False,False,1.0000,1.0000
CRM-00178,SUP-00297,0.8800,REVIEW,False,False,False,1.0000,1.0000
CRM-00183,ECO-00183,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
CRM-00183,SUP-00203,0.8800,REVIEW,False,False,False,1.0000,1.0000
ECO-00183,SUP-00203,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00079,CRM-00079,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00079,SUP-00090,0.9600,AUTO_MATCH,False,True,False,1.0000,1.0000
CRM-00079,SUP-00090,0.9600,AUTO_MATCH,False,True,False,1.0000,1.0000
ECO-00066,CRM-00064,0.9440,REVIEW,False,False,True,0.9000,1.0000
ECO-00058,CRM-00054,0.9800,AUTO_MATCH,True,True,False,1.0000,0.8571
ECO-00058,SUP-00068,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
CRM-00054,SUP-00068,0.9800,AUTO_MATCH,True,True,False,1.0000,0.8571
SUP-00165,CRM-00148,0.9800,AUTO_MATCH,True,True,False,1.0000,0.8387
SUP-00165,ECO-00153,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
CRM-00148,ECO-00153,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8387
CRM-00247,SUP-00265,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
CRM-00052,SUP-00065,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00034,CRM-00030,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8000
SUP-00113,CRM-00103,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
SUP-00055,ECO-00046,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00064,CRM-00060,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00064,SUP-00071,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
CRM-00060,SUP-00071,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
SUP-00099,CRM-00085,0.9600,AUTO_MATCH,False,True,False,1.0000,1.0000
CRM-00127,SUP-00143,0.9800,AUTO_MATCH,True,True,False,1.0000,0.8571
CRM-00174,SUP-00187,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
ECO-00106,CRM-00098,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00106,SUP-00110,0.9900,AUTO_MATCH,True,True,True,0.9167,1.0000
CRM-00098,SUP-00110,0.9900,AUTO_MATCH,True,True,True,0.9167,1.0000
ECO-00142,SUP-00151,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
CRM-00238,SUP-00254,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00192,ECO-00174,0.9700,AUTO_MATCH,False,True,True,0.8750,1.0000
ECO-00060,CRM-00056,0.9800,AUTO_MATCH,True,True,False,1.0000,0.8000
ECO-00200,CRM-00201,0.9800,AUTO_MATCH,True,True,False,1.0000,0.8276
ECO-00200,SUP-00221,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
SUP-00221,CRM-00201,0.9600,AUTO_MATCH,False,True,False,1.0000,0.8276
SUP-00119,CRM-00108,0.9800,AUTO_MATCH,True,True,False,1.0000,0.8000
ECO-00126,SUP-00127,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00126,CRM-00117,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8276
SUP-00127,CRM-00117,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8276
CRM-00189,SUP-00208,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
CRM-00113,ECO-00120,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
SUP-00286,ECO-00268,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
CRM-00037,ECO-00038,0.9900,AUTO_MATCH,True,True,True,0.8571,0.8276
CRM-00229,SUP-00249,0.9600,AUTO_MATCH,False,True,False,1.0000,1.0000
CRM-00128,SUP-00145,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
ECO-00081,SUP-00091,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
CRM-00155,ECO-00161,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00047,CRM-00035,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
SUP-00047,ECO-00037,0.9600,AUTO_MATCH,False,True,False,1.0000,1.0000
CRM-00035,ECO-00037,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
CRM-00082,ECO-00086,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
CRM-00082,SUP-00095,0.9600,AUTO_MATCH,False,True,False,1.0000,1.0000
ECO-00086,SUP-00095,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
CRM-00199,SUP-00219,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
ECO-00209,CRM-00211,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00072,ECO-00065,0.9705,REVIEW,False,False,True,0.9474,1.0000
SUP-00072,CRM-00061,0.9705,REVIEW,False,False,True,0.9474,1.0000
ECO-00065,CRM-00061,0.9990,REVIEW,False,False,True,1.0000,1.0000
CRM-00071,SUP-00080,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
CRM-00011,SUP-00017,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
CRM-00011,ECO-00009,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00017,ECO-00009,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00193,CRM-00195,0.9900,AUTO_MATCH,True,True,True,0.8750,1.0000
ECO-00140,CRM-00133,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8276
ECO-00140,SUP-00149,0.9990,REVIEW,False,False,True,1.0000,1.0000
CRM-00133,SUP-00149,0.9586,REVIEW,False,False,True,1.0000,0.8276
CRM-00175,SUP-00114,0.7289,REVIEW,False,False,False,1.0000,0.3704
SUP-00248,CRM-00228,0.9800,AUTO_MATCH,True,True,False,1.0000,1.0000
ECO-00053,CRM-00047,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
CRM-00026,SUP-00037,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00122,CRM-00114,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00255,ECO-00235,0.9900,AUTO_MATCH,True,True,True,1.0000,0.8571
SUP-00007,CRM-00005,0.9700,AUTO_MATCH,False,True,True,1.0000,1.0000
ECO-00112,CRM-00105,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00025,SUP-00033,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00228,ECO-00213,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00228,CRM-00214,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
ECO-00213,CRM-00214,0.9900,AUTO_MATCH,True,True,True,1.0000,1.0000
SUP-00228,CRM-00278,0.8427,REVIEW,False,False,False,0.9333,1.0000
ECO-00213,CRM-00278,0.8427,REVIEW,False,False,False,0.9333,1.0000
CRM-00278,CRM-00214,0.8427,REVIEW,False,False,False,0.9333,1.0000
