source_customer_id,source_system,golden_customer_id,match_method
CRM-00001,CRM,GC0001,SURVIVOR
CRM-00002,CRM,GC0002,AUTO_LINK
SUP-00002,Support,GC0002,AUTO_LINK
CRM-00003,CRM,GC0003,SURVIVOR
ECO-00003,Ecommerce,GC0004,AUTO_LINK
CRM-00004,CRM,GC0004,AUTO_LINK
SUP-00007,Support,GC0005,AUTO_LINK
CRM-00005,CRM,GC0005,AUTO_LINK
ECO-00004,Ecommerce,GC0006,AUTO_LINK
SUP-00008,Support,GC0006,AUTO_LINK
CRM-00006,CRM,GC0006,AUTO_LINK
CRM-00007,CRM,GC0007,AUTO_LINK
SUP-00010,Support,GC0007,AUTO_LINK
SUP-00013,Support,GC0008,AUTO_LINK
CRM-00008,CRM,GC0008,AUTO_LINK
CRM-00009,CRM,GC0009,AUTO_LINK
SUP-00015,Support,GC0009,AUTO_LINK
CRM-00010,CRM,GC0010,AUTO_LINK
SUP-00016,Support,GC0010,AUTO_LINK
CRM-00011,CRM,GC0011,AUTO_LINK
SUP-00017,Support,GC0011,AUTO_LINK
ECO-00009,Ecommerce,GC0011,AUTO_LINK
SUP-00020,Support,GC0012,AUTO_LINK
CRM-00012,CRM,GC0012,AUTO_LINK
CRM-00013,CRM,GC0013,AUTO_LINK
ECO-00012,Ecommerce,GC0013,AUTO_LINK
SUP-00021,Support,GC0013,AUTO_LINK
CRM-00014,CRM,GC0014,AUTO_LINK
ECO-00013,Ecommerce,GC0014,AUTO_LINK
ECO-00014,Ecommerce,GC0015,AUTO_LINK
CRM-00015,CRM,GC0015,AUTO_LINK
SUP-00022,Support,GC0015,AUTO_LINK
ECO-00015,Ecommerce,GC0016,AUTO_LINK
SUP-00025,Support,GC0016,AUTO_LINK
CRM-00016,CRM,GC0016,AUTO_LINK
CRM-00017,CRM,GC0017,AUTO_LINK
ECO-00016,Ecommerce,GC0017,AUTO_LINK
CRM-00018,CRM,GC0018,AUTO_LINK
SUP-00027,Support,GC0018,AUTO_LINK
SUP-00029,Support,GC0019,AUTO_LINK
ECO-00019,Ecommerce,GC0019,AUTO_LINK
CRM-00019,CRM,GC0019,AUTO_LINK
ECO-00020,Ecommerce,GC0020,AUTO_LINK
CRM-00020,CRM,GC0020,AUTO_LINK
SUP-00031,Support,GC0021,AUTO_LINK
ECO-00022,Ecommerce,GC0021,AUTO_LINK
CRM-00021,CRM,GC0021,AUTO_LINK
ECO-00023,Ecommerce,GC0022,AUTO_LINK
CRM-00022,CRM,GC0022,AUTO_LINK
CRM-00023,CRM,GC0023,SURVIVOR
CRM-00024,CRM,GC0024,SURVIVOR
CRM-00025,CRM,GC0025,AUTO_LINK
ECO-00026,Ecommerce,GC0025,AUTO_LINK
CRM-00026,CRM,GC0026,AUTO_LINK
SUP-00037,Support,GC0026,AUTO_LINK
SUP-00040,Support,GC0027,AUTO_LINK
CRM-00027,CRM,GC0027,AUTO_LINK
