left_id,right_id,score,decision,email_exact,phone_exact,dob_exact,name_similarity,address_similarity
ECO-00175,SUP-00297,0.8800,REVIEW,False,False,False,1.0000,1.0000
CRM-00178,SUP-00297,0.8800,REVIEW,False,False,False,1.0000,1.0000
CRM-00183,SUP-00203,0.8800,REVIEW,False,False,False,1.0000,1.0000
ECO-00183,SUP-00203,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00066,CRM-00064,0.9440,REVIEW,False,False,True,0.9000,1.0000
SUP-00072,ECO-00065,0.9705,REVIEW,False,False,True,0.9474,1.0000
SUP-00072,CRM-00061,0.9705,REVIEW,False,False,True,0.9474,1.0000
ECO-00065,CRM-00061,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00140,SUP-00149,0.9990,REVIEW,False,False,True,1.0000,1.0000
CRM-00133,SUP-00149,0.9586,REVIEW,False,False,True,1.0000,0.8276
CRM-00175,SUP-00114,0.7289,REVIEW,False,False,False,1.0000,0.3704
SUP-00228,CRM-00278,0.8427,REVIEW,False,False,False,0.9333,1.0000
ECO-00213,CRM-00278,0.8427,REVIEW,False,False,False,0.9333,1.0000
CRM-00278,CRM-00214,0.8427,REVIEW,False,False,False,0.9333,1.0000
SUP-00263,SUP-00269,0.7289,REVIEW,False,False,False,1.0000,0.3704
SUP-00269,CRM-00245,0.7289,REVIEW,False,False,False,1.0000,0.3704
SUP-00273,ECO-00256,0.9990,REVIEW,False,False,True,1.0000,1.0000
SUP-00273,CRM-00258,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00156,CRM-00138,0.9990,REVIEW,False,False,True,1.0000,1.0000
CRM-00237,SUP-00253,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00253,ECO-00233,0.8800,REVIEW,False,False,False,1.0000,1.0000
CRM-00089,ECO-00094,0.9990,REVIEW,False,False,True,1.0000,1.0000
SUP-00222,ECO-00203,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00222,SUP-00241,0.9300,REVIEW,False,False,True,0.8750,1.0000
ECO-00014,SUP-00276,0.7897,REVIEW,False,False,False,0.9000,0.8571
ECO-00014,ECO-00262,0.7897,REVIEW,False,False,False,0.9000,0.8571
