month,platform,posts,impressions,reach,engagements,clicks,conversions,spend,revenue,followers_gained,followers_lost,engagement_rate,ctr,conversion_rate,cpc,roas,net_followers
2026-06,Instagram,30,254350,185943,12805,5465,385,4561.349999999999,46573.60000000002,309,72,0.06886518987001393,0.021486141144092787,0.07044830741079597,0.8346477584629459,10.210485930700347,237
2026-06,Facebook,30,203211,145367,6364,2734,198,11476.3,28271.050000000003,220,53,0.043778849394979606,0.0134539960927312,0.07242136064374542,4.197622531089978,2.4634289797234303,167
2026-06,LinkedIn,30,172529,126528,4269,3688,355,4969.490000000001,46777.02999999999,180,45,0.03373956752655539,0.021376116478968754,0.09625813449023861,1.3474755965292844,9.412843169017341,135
2026-06,TikTok,30,352698,255697,20589,4620,354,9681.67,42665.85,466,117,0.08052108550354521,0.013099025228382355,0.07662337662337662,2.0955995670995673,4.406868856302683,349
2026-06,YouTube,30,244841,182792,9468,4848,359,4958.79,50900.38,303,75,0.051796577530745326,0.019800605290780548,0.07405115511551155,1.0228527227722772,10.264677471721932,228
2026-07,Instagram,34,350982,255121,16530,6502,452,6056.939999999999,61415.200000000004,403,90,0.06479278460024851,0.018525166532756664,0.06951707167025531,0.931550292217779,10.139641469124676,313
2026-07,Facebook,34,257369,182569,7889,3833,267,10849.4,35440.61,291,75,0.043211059928027214,0.014893013533098392,0.06965823115053484,2.8305243934255153,3.2665963094733352,216
2026-07,LinkedIn,34,194002,139390,5133,3853,350,5784.150000000001,47892.31999999999,224,54,0.03682473635124471,0.019860619993608313,0.09083830781209447,1.5012068518037893,8.279923584277723,170
2026-07,TikTok,34,382828,266527,21899,4250,305,12627.499999999998,38727.53000000001,440,118,0.08216428354350591,0.01110159131515981,0.07176470588235294,2.971176470588235,3.0669198178578516,322
2026-07,YouTube,34,291747,209659,12134,5193,368,6797.310000000001,47202.819999999985,331,77,0.05787493024387219,0.017799668891196826,0.07086462545734643,1.30893703061814,6.944338274994075,254
