post_id,date,platform,format,theme,impressions,reach,engagements,clicks,conversions,spend,revenue,engagement_rate,ctr,conversion_rate,roas,quality_score
SM0303,2026-07-17,YouTube,Short Video,Education,11074,7020,584,292,32,971.23,5149.84,0.08319088319088319,0.02636806935163446,0.1095890410958904,5.302389753199551,8.802185413545708
SM0177,2026-07-27,Instagram,Carousel,Industry Insight,5405,3716,370,155,15,0,1208.97,0.09956942949407965,0.028677150786308975,0.0967741935483871,0,8.501357474028337
SM0175,2026-07-25,Instagram,Live Clip,Education,3833,2832,247,110,12,593.57,1156.8,0.08721751412429378,0.02869814766501435,0.10909090909090909,1.9488855568846133,8.304485855240909
SM0259,2026-07-07,TikTok,Live Clip,Behind the Scenes,17713,11792,1380,238,26,0,4300.17,0.11702849389416553,0.013436459097837746,0.1092436974789916,0,7.990152554681023
SM0263,2026-07-11,TikTok,Article,Promotion,4652,2945,359,70,7,1084.34,1015.53,0.12190152801358234,0.015047291487532245,0.1,0.936542044008337,7.854945225355369
SM0152,2026-07-02,Instagram,Carousel,Customer Story,4543,2915,305,110,8,0,1208.8,0.10463121783876501,0.024213075060532687,0.07272727272727272,0,7.795814834350173
SM0307,2026-07-21,YouTube,Live Clip,Customer Story,7071,5139,318,134,14,235.82,1726.85,0.06187974314068885,0.01895064347334182,0.1044776119402985,7.322746162327198,7.791587701912643
SM0256,2026-07-04,TikTok,Carousel,Behind the Scenes,11406,7284,889,184,13,0,1237.04,0.12204832509610104,0.016131860424338066,0.07065217391304347,0,7.636602294814832
SM0169,2026-07-19,Instagram,Article,Education,9950,6991,711,302,12,0,2145.9,0.10170218852810757,0.030351758793969848,0.039735099337748346,0,7.585936876696019
SM0319,2026-07-02,YouTube,Carousel,Customer Story,5164,4079,311,137,13,812.51,1898,0.07624417749448394,0.026529821843532145,0.0948905109489051,2.3359712495846203,7.538033209599089
SM0285,2026-07-02,TikTok,Short Video,Product,7895,6242,755,82,8,795.35,1085.25,0.12095482217238064,0.010386320455984801,0.0975609756097561,1.3644936191613755,7.46053053405742
SM0158,2026-07-08,Instagram,Static Image,Customer Story,9312,6917,569,258,20,0,1683.27,0.08226109585080237,0.027706185567010308,0.07751937984496124,0,7.423082652708236
SM0160,2026-07-10,Instagram,Live Clip,Education,7125,4600,460,106,11,0,1739.55,0.1,0.01487719298245614,0.10377358490566038,0,7.41441906653426
SM0278,2026-07-26,TikTok,Article,Promotion,5938,4532,454,112,10,843.56,1191.49,0.1001765225066196,0.018861569552037723,0.08928571428571429,1.4124543600929396,7.342547423152602
SM0288,2026-07-02,YouTube,Short Video,Education,4380,3329,288,111,8,0,1414.48,0.0865124662060679,0.025342465753424658,0.07207207207207207,0,7.250199676462037
