week_start,forecast_sales,customer_collections,payroll,suppliers,rent,tax,operating_expenses,capital_expenditure
2026-08-10,18500,12600,9200,4300,6200,0,2400,0
2026-08-17,19200,15800,0,4700,0,0,2600,0
2026-08-24,20500,17200,9200,5100,0,0,2250,3500
2026-08-31,21300,18300,0,4800,0,7800,2500,0
2026-09-07,22000,20100,9200,5400,6200,0,2700,0
2026-09-14,22600,21700,0,5100,0,0,2300,0
2026-09-21,23500,22900,9200,5600,0,0,2600,0
2026-09-28,24200,23800,0,5500,0,0,2450,4800
2026-10-05,25000,24600,9200,5900,6200,0,2800,0
2026-10-12,25800,25500,0,5700,0,9100,2500,0
2026-10-19,26600,26700,9200,6200,0,0,2900,0
2026-10-26,27400,27600,0,6000,0,0,2600,0
2026-11-02,28500,29200,9200,6500,6200,0,3000,0
